Timestamp,High,Low,Price,Volume
2018-05-18 01:00:00,3100,3100,3100,220
2018-05-24 01:00:00,3050,3050,3050,2436
2018-05-25 01:00:00,3050,3050,3050,78
2018-06-01 01:00:00,3000,3000,3000,151
2018-06-08 01:00:00,3000,3000,3000,58
2018-06-11 01:00:00,2985,2985,2985,709
2018-06-14 01:00:00,2989,2989,2989,46
2018-06-18 01:00:00,2990,2990,2990,3
2018-06-21 01:00:00,3165,3165,3165,3
2018-06-22 01:00:00,2815,2815,2815,1
2018-06-25 01:00:00,2850,2850,2850,8880
2018-06-26 01:00:00,2860,2860,2860,2000
2018-06-29 01:00:00,2985,2985,2985,200
2018-07-02 01:00:00,2808,2808,2808,150
2018-07-03 01:00:00,2808,2808,2808,230
2018-07-06 01:00:00,2640,2640,2640,3
2018-07-11 01:00:00,2640,2640,2640,11
2018-07-13 01:00:00,2640,2640,2640,10
2018-07-17 01:00:00,2640,2640,2640,1000
2018-07-20 01:00:00,2640,2485,2640,659
2018-07-24 01:00:00,2640,2640,2640,103
2018-08-06 01:00:00,2850,2850,2850,1
2018-08-08 01:00:00,2934,2850,2934,2
2018-08-10 01:00:00,2934,2681,2929,25
2018-08-15 01:00:00,2945,2945,2945,19
2018-08-17 01:00:00,2944,2944,2944,8
2018-08-31 01:00:00,2943,2943,2943,10
2018-09-05 01:00:00,2855,2855,2855,700
2018-09-07 01:00:00,2871,2871,2871,1063
2018-09-13 01:00:00,2871,2871,2871,502
2018-09-14 01:00:00,2900,2900,2900,400
2018-09-17 01:00:00,2900,2900,2900,17
2018-09-19 01:00:00,2900,2900,2900,11
2018-09-21 01:00:00,2900,2900,2900,118
2018-09-25 01:00:00,2925,2925,2925,125
2018-09-26 01:00:00,2943,2943,2943,2
2018-09-27 01:00:00,2901,2900,2900,13
2018-09-28 01:00:00,3000,3000,3000,183
2018-10-05 01:00:00,2950,2950,2950,121
2018-10-08 01:00:00,3100,2901,3100,15
2018-10-17 01:00:00,2940,2940,2940,2
2018-10-18 01:00:00,2950,2945,2945,35
2018-10-19 01:00:00,2960,2950,2950,113
2018-10-22 01:00:00,2945,2945,2945,25
2018-10-25 01:00:00,2947,2947,2947,3
2018-10-31 01:00:00,2950,2950,2950,3
2018-11-02 01:00:00,2916,2916,2916,30
2018-11-08 01:00:00,3050,2980,2980,4
2018-11-09 01:00:00,2980,2930,2930,337
2018-11-14 01:00:00,3016,3016,3016,4668
2018-11-16 01:00:00,3016,2940,2940,54
2018-11-26 01:00:00,2905,2905,2905,540
2018-12-06 01:00:00,3001,3001,3001,2
