Timestamp,High,Low,Price,Volume
2018-05-18 01:00:00,1500,1500,1500,1
2018-05-25 01:00:00,1575,1575,1575,5
2018-05-30 01:00:00,1575,1575,1575,2
2018-06-01 01:00:00,1485,1485,1485,1
2018-06-04 01:00:00,1560,1560,1560,4
2018-06-05 01:00:00,1559,1559,1559,4
2018-06-06 01:00:00,1649,1649,1649,3
2018-06-07 01:00:00,1629,1629,1629,10
2018-06-08 01:00:00,1630,1630,1630,10
2018-06-18 01:00:00,1530,1530,1530,209
2018-06-26 01:00:00,1530,1530,1530,40
2018-07-02 01:00:00,1527,1527,1527,10
2018-07-03 01:00:00,1530,1530,1530,4
2018-07-04 01:00:00,1529,1529,1529,6
2018-07-20 01:00:00,1500,1500,1500,1
2018-07-31 01:00:00,1500,1500,1500,9
2018-08-01 01:00:00,1500,1500,1500,21
2018-08-02 01:00:00,1501,1501,1501,2
2018-08-06 01:00:00,1411,1411,1411,24
2018-08-07 01:00:00,1495,1495,1495,2
2018-08-08 01:00:00,1549,1549,1549,2
2018-08-09 01:00:00,1547,1547,1547,4
2018-08-10 01:00:00,1560,1560,1560,16
2018-08-13 01:00:00,1558,1558,1558,10
2018-08-16 01:00:00,1557,1557,1557,41
2018-08-17 01:00:00,1557,1557,1557,1
2018-08-24 01:00:00,1558,1558,1558,7
2018-08-27 01:00:00,1557,1557,1557,4
2018-08-29 01:00:00,1550,1550,1550,25
2018-08-30 01:00:00,1549,1549,1549,11
2018-08-31 01:00:00,1560,1560,1560,83
2018-09-05 01:00:00,1550,1550,1550,27
2018-09-06 01:00:00,1570,1570,1570,77
2018-09-07 01:00:00,1570,1570,1570,174
2018-09-17 01:00:00,1580,1580,1580,8
2018-09-18 01:00:00,1579,1579,1579,12
2018-09-19 01:00:00,1580,1580,1580,37
2018-09-20 01:00:00,1590,1590,1590,10
2018-09-24 01:00:00,1618,1618,1618,374
2018-09-25 01:00:00,1600,1600,1600,235
2018-09-28 01:00:00,1600,1600,1600,47
2018-10-03 01:00:00,1615,1615,1615,193
2018-10-04 01:00:00,1614,1614,1614,18
2018-10-05 01:00:00,1614,1614,1614,20
2018-10-11 01:00:00,1611,1611,1611,49
2018-10-26 01:00:00,1700,1700,1700,15
2018-10-29 01:00:00,1600,1600,1600,33
2018-10-30 01:00:00,1600,1600,1600,250
2018-10-31 01:00:00,1599,1599,1599,49
2018-11-07 01:00:00,1600,1600,1600,50
2018-11-09 01:00:00,1600,1600,1600,40
2018-11-12 01:00:00,1600,1600,1600,35
2018-11-15 01:00:00,1600,1600,1600,1927
2018-11-26 01:00:00,1567,1567,1567,10
2018-11-30 01:00:00,1580,1580,1580,48
2018-12-04 01:00:00,1581,1581,1581,80
2018-12-11 01:00:00,1601,1601,1601,3
2018-12-12 01:00:00,1664,1664,1664,1
2018-12-14 01:00:00,1610,1610,1610,48
2018-12-21 01:00:00,1514,1514,1514,56
2018-12-26 01:00:00,1604,1604,1604,6
2018-12-27 01:00:00,1664,1664,1664,5
2018-12-28 01:00:00,1565,1565,1565,55
2019-01-02 01:00:00,1658,1658,1658,4
2019-01-03 01:00:00,1698,1698,1698,1
2019-01-15 01:00:00,1600,1600,1600,2
2019-01-16 01:00:00,1664,1664,1664,1
2019-01-21 01:00:00,1600,1600,1600,100
2019-01-25 01:00:00,1522,1522,1522,15
2019-01-30 01:00:00,1649,1649,1649,1
2019-02-01 01:00:00,1610,1610,1610,726
2019-02-05 01:00:00,1648,1580,1648,11
2019-02-07 01:00:00,1650,1649,1650,32
2019-02-11 01:00:00,1649,1592,1649,40
2019-02-13 01:00:00,1813,1650,1813,135
2019-02-18 01:00:00,1811,1632,1650,71
2019-02-19 01:00:00,1811,1632,1500,71
2019-02-21 01:00:00,1785,1785,1785,2
2019-02-22 01:00:00,1810,1640,1640,1487
2019-03-06 01:00:00,1620,1620,1620,46
2019-03-07 01:00:00,1699,1620,1699,5
2019-03-21 01:00:00,1650,1650,1650,235
2019-03-22 01:00:00,1700,1700,1700,1
2019-03-25 00:00:00,1694,1531,1694,111
2019-03-28 00:00:00,1531,1531,1531,1
2019-04-01 00:00:00,1684,1645,1684,916
2019-04-02 00:00:00,1852,1852,1600,5131
2019-04-04 00:00:00,1853,1750,1853,2191
2019-04-05 00:00:00,1853,1853,1853,355
2019-04-08 00:00:00,1852,1852,1852,150
2019-04-09 00:00:00,2037,1830,2037,2094
2019-04-10 00:00:00,2240,2037,2240,810
2019-04-11 00:00:00,2463,2460,2463,24115
2019-04-12 00:00:00,2217,2217,2217,21
2019-04-15 00:00:00,1996,1996,1996,29
2019-04-16 00:00:00,2000,1805,1805,7150
2019-05-16 01:00:00,1701,1701,1701,20
2019-05-17 01:00:00,1798,1798,1798,20
2019-05-20 01:00:00,1800,1800,1800,4
2019-05-28 01:00:00,1850,1850,1850,1
2019-06-17 01:00:00,1850,1835,1850,4
2019-06-18 01:00:00,1850,1849,1850,10
2019-06-20 01:00:00,1850,1850,1850,10
2019-07-16 01:00:00,1800,1795,1800,3
2019-07-17 01:00:00,1848,1848,1848,4
2019-07-29 01:00:00,1922,1922,1922,142
2019-08-23 01:00:00,1870,1870,1870,64
2019-08-26 01:00:00,1871,1870,1870,100
2019-08-27 01:00:00,1875,1870,1870,381
2019-08-28 01:00:00,1871,1871,1871,2
2019-08-29 01:00:00,1871,1870,1870,100
2019-08-30 01:00:00,1870,1870,1870,48
2019-09-02 01:00:00,1870,1850,1850,150
2019-09-05 01:00:00,1870,1870,1870,60
2019-09-11 01:00:00,1870,1869,1870,247
2019-09-20 01:00:00,1850,1850,1850,23
2019-09-24 01:00:00,1850,1800,1800,324
2019-09-27 01:00:00,1850,1850,1850,1
2019-09-30 01:00:00,1821,1821,1821,80
2019-10-01 01:00:00,1821,1820,1821,165
2019-10-02 01:00:00,1890,1890,1890,1
2019-10-04 01:00:00,1890,1890,1890,119
2019-10-07 01:00:00,1807,1807,1807,2
2019-10-08 01:00:00,1808,1808,1808,2
2019-10-23 01:00:00,1850,1850,1850,15
2019-10-25 01:00:00,1811,1753,1800,27
2019-11-07 01:00:00,1750,1750,1750,2
2019-11-08 01:00:00,1801,1750,1750,23
2019-11-13 01:00:00,1761,1721,1721,268
2019-11-14 01:00:00,1721,1721,1721,80
2019-11-20 01:00:00,1721,1721,1721,140
2019-11-21 01:00:00,1721,1703,1703,882
2019-11-22 01:00:00,1702,1702,1702,236
2019-11-26 01:00:00,1702,1702,1702,70
2019-11-29 01:00:00,1702,1702,1702,35
2019-12-10 01:00:00,1700,1700,1700,4
2019-12-12 01:00:00,1700,1700,1700,3
2019-12-16 01:00:00,1700,1700,1700,6
2019-12-19 01:00:00,1700,1700,1700,123
2019-12-20 01:00:00,1700,1700,1700,665
2019-12-24 01:00:00,1702,1681,1681,721
2019-12-25 01:00:00,1681,1681,1681,10
2019-12-30 01:00:00,1685,1681,1681,61
2020-01-02 01:00:00,1682,1681,1681,41
2020-01-03 01:00:00,1675,1675,1675,30
2020-01-06 01:00:00,1675,1675,1675,20
2020-01-13 01:00:00,1632,1600,1600,259
2020-01-14 01:00:00,1610,1600,1600,194
2020-01-15 01:00:00,1600,1600,1600,152
2020-01-16 01:00:00,1600,1600,1600,50
2020-01-20 01:00:00,1586,1586,1586,783
2020-01-22 01:00:00,1586,1586,1586,78
2020-01-23 01:00:00,1586,1586,1586,257
2020-01-24 01:00:00,1554,1554,1554,291
2020-01-28 01:00:00,1555,1555,1555,220
2020-01-29 01:00:00,1554,1554,1554,232
2020-01-30 01:00:00,1586,1586,1586,1
2020-02-03 01:00:00,1554,1554,1554,120
2020-02-04 01:00:00,1555,1555,1555,103
2020-02-05 01:00:00,1555,1555,1555,199
2020-02-06 01:00:00,1554,1554,1554,7
2020-02-10 01:00:00,1555,1555,1555,30
2020-02-17 01:00:00,1648,1648,1648,5
2020-02-18 01:00:00,1550,1550,1550,38
2020-02-19 01:00:00,1459,1459,1459,332
2020-02-21 01:00:00,1480,1480,1480,3
2020-02-24 01:00:00,1483,1483,1483,840
2020-02-26 01:00:00,1500,1500,1500,300
2020-02-27 01:00:00,1546,1546,1546,35
2020-03-03 01:00:00,1546,1546,1546,65
2020-03-09 01:00:00,1499,1499,1499,19
2020-03-10 01:00:00,1500,1500,1500,8002
2020-03-12 01:00:00,1450,1450,1450,9
2020-03-13 01:00:00,1450,1450,1450,22
2020-03-16 01:00:00,1439,1439,1439,106
2020-03-19 01:00:00,1466,1466,1466,120
2020-03-20 01:00:00,1466,1466,1466,40
2020-03-24 00:00:00,1494,1494,1494,50
2020-03-26 00:00:00,1520,1520,1520,68
2020-04-16 00:00:00,1499,1499,1499,188
2020-06-01 01:00:00,1490,1490,1490,10
2020-06-04 01:00:00,1462,1462,1462,5
2020-06-05 01:00:00,1433,1433,1433,5
2020-06-09 01:00:00,1405,1405,1405,4
2020-06-10 01:00:00,1405,1405,1405,47
2020-06-16 01:00:00,1405,1405,1405,5
2020-06-19 01:00:00,1409,1409,1409,1
2020-06-26 01:00:00,1436,1436,1436,1
2020-07-06 01:00:00,1436,1436,1436,1
2020-07-07 01:00:00,1436,1436,1436,2
2020-07-14 01:00:00,1416,1416,1416,12
2020-07-16 01:00:00,1360,1360,1360,5
2020-07-27 01:00:00,1360,1360,1360,10
