Timestamp,High,Low,Price,Volume
2018-05-16 01:00:00,78.0,71.0,78.0,9332
2018-05-17 01:00:00,78.0,76.0,77.8,8395
2018-05-18 01:00:00,79.0,76.5,76.62,2264
2018-05-21 01:00:00,79.0,75.0,79.0,3670
2018-05-22 01:00:00,79.0,78.9,79.0,510
2018-05-23 01:00:00,78.7,76.12,77.5,5760
2018-05-24 01:00:00,79.0,78.99,79.0,200
2018-05-25 01:00:00,79.0,76.6,77.0,2151
2018-05-28 01:00:00,78.5,77.0,77.0,2780
2018-05-29 01:00:00,78.4,76.2,76.4,300
2018-05-30 01:00:00,79.0,79.0,79.0,1200
2018-05-31 01:00:00,79.0,79.0,79.0,2400
2018-06-01 01:00:00,79.0,77.1,77.1,2735
2018-06-04 01:00:00,75.1,74.12,75.0,15384
2018-06-05 01:00:00,77.0,73.0,77.0,4266
2018-06-07 01:00:00,76.0,74.0,76.0,7380
2018-06-08 01:00:00,76.0,75.0,76.0,6159
2018-06-11 01:00:00,75.0,75.0,75.0,20
2018-06-12 01:00:00,75.5,73.0,75.5,360
2018-06-13 01:00:00,74.99,74.99,74.99,500
2018-06-14 01:00:00,74.99,72.75,74.98,886
2018-06-19 01:00:00,75.0,74.99,75.0,1500
2018-06-20 01:00:00,76.0,73.05,76.0,2580
2018-06-21 01:00:00,75.9,74.0,75.9,120
2018-06-22 01:00:00,74.0,70.0,70.0,44004
2018-06-25 01:00:00,71.5,68.32,70.0,6866
2018-06-26 01:00:00,71.4,69.1,71.2,1697
2018-06-27 01:00:00,74.48,68.66,70.0,21774
2018-06-28 01:00:00,72.99,68.32,70.0,2384
2018-06-29 01:00:00,70.0,68.0,68.5,29596
2018-07-02 01:00:00,73.0,68.0,68.0,157
2018-07-03 01:00:00,70.0,68.0,70.0,74676
2018-07-04 01:00:00,71.5,68.1,71.5,2597
2018-07-05 01:00:00,72.0,68.1,72.0,2597
2018-07-06 01:00:00,72.0,71.9,72.0,3100
2018-07-09 01:00:00,72.0,72.0,72.0,1000
2018-07-10 01:00:00,72.0,68.35,72.0,1160
2018-07-11 01:00:00,72.0,69.0,72.0,1120
2018-07-13 01:00:00,70.0,70.0,70.0,6535
2018-07-16 01:00:00,71.4,71.4,71.4,500
2018-07-17 01:00:00,71.46,69.0,71.46,30
2018-07-18 01:00:00,71.0,67.5,67.5,4161
2018-07-19 01:00:00,71.35,66.5,71.35,970
2018-07-20 01:00:00,71.95,69.0,71.95,2244
2018-07-23 01:00:00,71.0,71.0,71.0,5
2018-07-24 01:00:00,71.95,71.9,71.9,312
2018-07-26 01:00:00,71.85,66.85,71.85,310
2018-07-27 01:00:00,71.8,67.1,70.8,2081
2018-08-01 01:00:00,71.95,68.5,71.95,1455
2018-08-02 01:00:00,71.95,71.0,71.95,536
2018-08-03 01:00:00,71.8,68.7,70.0,1601
2018-08-06 01:00:00,71.95,69.0,71.95,515
2018-08-07 01:00:00,71.93,70.0,71.93,595
2018-08-08 01:00:00,70.2,70.0,70.2,1290
2018-08-09 01:00:00,71.0,69.15,69.22,40712
2018-08-10 01:00:00,71.93,69.1,71.93,1503
2018-08-15 01:00:00,70.0,69.01,70.0,540
2018-08-16 01:00:00,71.8,69.0,69.0,2456
2018-08-17 01:00:00,71.0,69.0,69.0,3370
2018-08-24 01:00:00,70.0,70.0,70.0,500
2018-08-27 01:00:00,70.0,65.06,70.0,1302
2018-08-28 01:00:00,70.0,69.0,69.0,2659
2018-08-29 01:00:00,69.0,69.0,69.0,1025
2018-08-30 01:00:00,69.0,65.7,69.0,2485
2018-08-31 01:00:00,70.0,69.0,69.99,2500
2018-09-03 01:00:00,65.0,65.0,65.0,7597
2018-09-04 01:00:00,70.0,69.0,69.0,8440
2018-09-05 01:00:00,68.9,65.0,65.0,2122
2018-09-06 01:00:00,67.9,62.8,67.9,1638
2018-09-07 01:00:00,67.95,64.05,65.0,7077
2018-09-10 01:00:00,67.79,62.7,67.7,3166
2018-09-12 01:00:00,67.0,65.0,65.0,2105
2018-09-13 01:00:00,67.0,63.2,67.0,1374
2018-09-14 01:00:00,63.0,63.0,63.0,13140
2018-09-17 01:00:00,66.3,63.1,66.3,49
2018-09-18 01:00:00,66.5,63.1,63.1,669
2018-09-19 01:00:00,63.15,60.5,62.0,2572
2018-09-20 01:00:00,65.0,65.0,65.0,500
2018-09-21 01:00:00,67.0,64.0,64.0,634
2018-09-24 01:00:00,64.0,62.5,62.5,2856
2018-09-25 01:00:00,62.52,62.1,62.52,32
2018-09-26 01:00:00,62.8,62.55,62.8,703
2018-09-28 01:00:00,64.0,63.0,64.0,1520
2018-10-01 01:00:00,63.95,62.2,63.95,197
2018-10-02 01:00:00,64.0,62.2,64.0,25
2018-10-04 01:00:00,63.9,63.11,63.11,176
2018-10-05 01:00:00,64.0,62.0,64.0,1680
2018-10-08 01:00:00,62.11,62.09,62.1,501
2018-10-09 01:00:00,64.0,62.5,64.0,30
2018-10-10 01:00:00,64.95,62.0,62.0,704
2018-10-11 01:00:00,63.0,63.0,63.0,500
2018-10-12 01:00:00,64.0,61.52,61.55,23090
2018-10-15 01:00:00,61.55,61.55,61.55,519
2018-10-16 01:00:00,61.53,56.5,58.5,13380
2018-10-17 01:00:00,61.5,57.2,61.5,4393
2018-10-18 01:00:00,61.5,61.5,61.5,60
2018-10-19 01:00:00,61.0,59.55,60.0,1630
2018-10-23 01:00:00,59.25,59.1,59.1,50
2018-10-24 01:00:00,59.5,59.25,59.27,63
2018-10-25 01:00:00,61.89,59.25,61.89,23
2018-10-26 01:00:00,61.9,59.25,61.7,2270
2018-10-30 01:00:00,60.0,59.5,60.0,640
2018-10-31 01:00:00,60.0,59.33,60.0,25
2018-11-01 01:00:00,61.7,59.11,61.7,600
2018-11-02 01:00:00,61.7,58.56,58.56,7077
2018-11-05 01:00:00,61.39,57.57,60.0,1338
2018-11-07 01:00:00,61.49,57.83,61.49,1125
2018-11-08 01:00:00,61.45,60.0,61.45,610
2018-11-09 01:00:00,61.3,60.0,61.3,2040
2018-11-13 01:00:00,61.14,59.61,61.14,512
2018-11-14 01:00:00,61.29,58.61,61.29,95
2018-11-15 01:00:00,61.19,59.5,61.19,50
2018-11-16 01:00:00,61.16,58.5,58.5,2426
2018-11-19 01:00:00,61.2,58.5,61.0,337
2018-11-23 01:00:00,60.0,58.6,60.0,350
2018-11-26 01:00:00,61.1,58.56,61.1,30
2018-11-28 01:00:00,61.0,61.0,61.0,50
2018-11-29 01:00:00,60.0,60.0,60.0,557
2018-11-30 01:00:00,61.14,58.8,61.14,2580
2018-12-03 01:00:00,61.0,59.0,61.0,414
2018-12-04 01:00:00,60.0,59.01,59.01,515
2018-12-05 01:00:00,61.34,59.02,61.34,260
2018-12-06 01:00:00,59.61,59.61,59.61,72
2018-12-07 01:00:00,59.1,59.1,59.1,1670
2018-12-10 01:00:00,61.28,61.24,61.24,71
2018-12-12 01:00:00,59.75,59.75,59.75,40
2018-12-13 01:00:00,60.0,59.75,60.0,380
2018-12-14 01:00:00,60.0,59.0,60.0,7564
2018-12-17 01:00:00,60.99,58.61,60.99,80
2018-12-19 01:00:00,60.5,60.5,60.5,24
2018-12-20 01:00:00,60.0,58.66,60.0,642
2018-12-21 01:00:00,59.0,58.51,58.51,1955
2018-12-24 01:00:00,58.6,58.5,58.6,320
2018-12-25 01:00:00,60.0,58.53,60.0,60
2018-12-26 01:00:00,59.0,58.61,59.0,229
