Timestamp,High,Low,Price,Volume
2018-05-16 01:00:00,488.05,485.0,486.0,40023
2018-05-17 01:00:00,486.0,482.0,483.0,30998
2018-05-18 01:00:00,485.0,480.0,480.0,41118
2018-05-21 01:00:00,481.0,478.05,478.05,56280
2018-05-22 01:00:00,480.0,478.0,478.0,14375
2018-05-23 01:00:00,483.9,477.0,477.0,15674
2018-05-24 01:00:00,483.7,476.0,477.0,14084
2018-05-25 01:00:00,487.8,475.6,487.8,54593
2018-05-28 01:00:00,477.15,476.05,477.15,44141
2018-05-29 01:00:00,478.9,477.15,478.9,9271
2018-05-30 01:00:00,481.05,481.0,481.05,18137
2018-05-31 01:00:00,485.05,481.6,485.05,34032
2018-06-01 01:00:00,489.0,483.0,485.5,48379
2018-06-04 01:00:00,488.5,483.1,483.1,15770
2018-06-05 01:00:00,485.0,483.1,483.1,10761
2018-06-06 01:00:00,485.05,483.1,485.05,4042
2018-06-07 01:00:00,497.0,485.0,497.0,8054
2018-06-08 01:00:00,497.0,485.1,495.0,71230
2018-06-11 01:00:00,497.0,492.5,495.0,58325
2018-06-12 01:00:00,497.0,492.3,492.3,29483
2018-06-13 01:00:00,494.95,490.0,490.1,7392
2018-06-14 01:00:00,492.0,489.9,490.1,28230
2018-06-18 01:00:00,491.0,486.1,486.7,25232
2018-06-19 01:00:00,492.0,487.5,489.3,47144
2018-06-20 01:00:00,492.0,488.1,492.0,236936
2018-06-21 01:00:00,476.85,466.0,471.2,211557
2018-06-22 01:00:00,479.9,469.0,479.9,2517
2018-06-25 01:00:00,479.4,471.1,479.4,38311
2018-06-26 01:00:00,476.0,472.0,475.0,71157
2018-06-27 01:00:00,479.0,472.0,475.0,27201
2018-06-28 01:00:00,475.0,470.0,475.0,1829964
2018-06-29 01:00:00,475.0,470.0,470.0,77958
2018-07-02 01:00:00,479.6,469.0,469.0,2509
2018-07-03 01:00:00,472.0,462.15,462.15,46852
2018-07-04 01:00:00,463.0,463.0,463.0,22841
2018-07-05 01:00:00,476.85,463.0,463.0,22841
2018-07-06 01:00:00,474.9,464.0,474.9,6242
2018-07-09 01:00:00,474.5,465.0,467.0,17803
2018-07-10 01:00:00,479.6,470.0,470.0,56
2018-07-11 01:00:00,475.0,462.05,462.05,35398
2018-07-12 01:00:00,465.0,460.1,461.95,19875
2018-07-13 01:00:00,464.8,459.95,459.95,79895
2018-07-16 01:00:00,468.8,456.0,456.0,4600
2018-07-17 01:00:00,456.5,451.0,453.0,14803
2018-07-18 01:00:00,453.0,442.0,446.05,63446
2018-07-19 01:00:00,458.5,445.5,452.0,12199
2018-07-20 01:00:00,460.0,453.0,460.0,17156
2018-07-23 01:00:00,479.0,460.0,464.0,1443
2018-07-24 01:00:00,470.05,464.0,465.2,34737
2018-07-25 01:00:00,470.0,465.0,468.95,21803
2018-07-26 01:00:00,476.9,465.0,476.9,13252
2018-07-27 01:00:00,480.0,476.0,479.5,45502
2018-07-31 01:00:00,478.0,473.0,473.0,46689
2018-08-01 01:00:00,473.0,468.0,468.0,55332
2018-08-02 01:00:00,469.0,468.95,469.0,44973
2018-08-03 01:00:00,472.0,467.0,469.0,45044
2018-08-06 01:00:00,469.0,461.0,465.0,10202
2018-08-07 01:00:00,468.0,465.0,468.0,18680
2018-08-08 01:00:00,475.0,464.0,470.0,12787
2018-08-09 01:00:00,470.0,465.0,470.0,3280
2018-08-10 01:00:00,475.0,470.0,474.9,37693
2018-08-13 01:00:00,470.05,465.0,470.0,6495
2018-08-15 01:00:00,470.0,465.7,470.0,6693
2018-08-16 01:00:00,470.1,467.0,470.1,15881
2018-08-17 01:00:00,473.0,467.15,473.0,5169
2018-08-24 01:00:00,474.0,470.0,474.0,4639
2018-08-27 01:00:00,474.0,473.9,474.0,17241
2018-08-28 01:00:00,474.0,470.0,470.0,16117
2018-08-29 01:00:00,470.0,469.0,469.0,13884
2018-08-30 01:00:00,473.0,469.0,473.0,228008
2018-08-31 01:00:00,470.0,463.0,463.0,11076
2018-09-03 01:00:00,462.0,461.0,462.0,8021
2018-09-04 01:00:00,462.0,455.0,460.0,44431
2018-09-05 01:00:00,456.0,454.85,454.85,47909
2018-09-06 01:00:00,454.95,451.95,452.0,48909
2018-09-07 01:00:00,455.0,448.0,448.0,74620
2018-09-10 01:00:00,444.0,440.15,440.15,3873
2018-09-12 01:00:00,444.0,441.0,443.1,30704
2018-09-13 01:00:00,457.95,443.1,450.0,12296
2018-09-14 01:00:00,453.0,446.0,448.0,49315
2018-09-17 01:00:00,446.0,445.05,446.0,4505
2018-09-18 01:00:00,448.5,446.0,447.7,25980
2018-09-19 01:00:00,448.0,446.0,448.0,12826
2018-09-20 01:00:00,459.5,450.0,452.0,92513
2018-09-21 01:00:00,454.0,450.0,451.0,41918
2018-09-24 01:00:00,447.0,446.0,446.1,10529
2018-09-25 01:00:00,454.5,446.0,454.5,16057
2018-09-26 01:00:00,460.0,447.25,460.0,34483
2018-09-27 01:00:00,459.0,452.0,452.0,26266
2018-09-28 01:00:00,452.0,446.05,450.0,106149
2018-10-01 01:00:00,448.0,447.05,447.05,8885
2018-10-02 01:00:00,447.05,446.5,446.6,15509
2018-10-03 01:00:00,446.1,446.0,446.1,23922
2018-10-04 01:00:00,449.9,445.0,445.1,1870
2018-10-05 01:00:00,446.0,444.0,444.0,8000
2018-10-08 01:00:00,445.0,440.0,443.1,1808
2018-10-09 01:00:00,449.0,443.0,449.0,21607
2018-10-10 01:00:00,449.0,443.0,443.0,4100
2018-10-11 01:00:00,441.0,441.0,441.0,1778
2018-10-12 01:00:00,445.0,441.0,441.0,23985
2018-10-15 01:00:00,444.0,441.0,444.0,2013
2018-10-16 01:00:00,442.0,440.05,441.0,26509
2018-10-17 01:00:00,441.0,440.0,441.0,130
2018-10-18 01:00:00,440.9,430.05,440.9,5508
2018-10-19 01:00:00,438.5,435.0,435.0,26216
2018-10-22 01:00:00,442.0,435.0,442.0,60434
2018-10-23 01:00:00,440.0,430.0,433.9,93663
2018-10-24 01:00:00,431.0,430.0,431.0,36781
2018-10-25 01:00:00,431.5,431.0,431.1,32813
2018-10-26 01:00:00,434.9,430.15,430.25,4054
2018-10-29 01:00:00,433.0,430.0,430.2,405
2018-10-30 01:00:00,430.0,425.1,426.0,27201
2018-10-31 01:00:00,426.1,416.5,416.5,25102
2018-11-01 01:00:00,426.0,416.5,416.7,38110
2018-11-02 01:00:00,420.0,417.0,420.0,13853
2018-11-05 01:00:00,432.05,420.0,420.0,7055
2018-11-07 01:00:00,429.65,420.0,427.05,27846
2018-11-08 01:00:00,433.0,430.0,433.0,36491
2018-11-09 01:00:00,441.65,431.05,441.65,27669
2018-11-12 01:00:00,450.0,435.0,435.0,26470
2018-11-13 01:00:00,440.0,427.0,438.0,4664
2018-11-14 01:00:00,442.0,438.0,442.0,22258
2018-11-15 01:00:00,446.0,442.1,443.0,22706
2018-11-16 01:00:00,444.0,440.0,443.0,29607
2018-11-19 01:00:00,443.85,440.0,443.0,16660
2018-11-22 01:00:00,444.35,440.55,443.0,17076
2018-11-23 01:00:00,445.0,443.0,445.0,7724
2018-11-26 01:00:00,448.0,434.0,448.0,36537
2018-11-27 01:00:00,449.0,445.5,448.0,78697
2018-11-28 01:00:00,455.0,449.0,454.1,29089
2018-11-29 01:00:00,469.0,447.0,447.0,126109
2018-11-30 01:00:00,455.0,447.0,447.0,99262
2018-12-03 01:00:00,459.45,450.0,459.45,15534
2018-12-04 01:00:00,460.0,453.0,459.0,70345
2018-12-05 01:00:00,462.0,459.0,460.0,15966
2018-12-06 01:00:00,459.0,450.1,451.05,30437
2018-12-07 01:00:00,452.3,447.0,447.5,52684
2018-12-10 01:00:00,451.0,445.1,447.5,7486
2018-12-11 01:00:00,454.0,447.9,454.0,74913
2018-12-12 01:00:00,453.95,447.0,447.0,30142
2018-12-13 01:00:00,450.0,447.25,450.0,17094
2018-12-14 01:00:00,449.95,445.0,445.0,15491
2018-12-17 01:00:00,446.0,445.0,445.0,57050
2018-12-18 01:00:00,445.5,442.1,445.05,101855
2018-12-19 01:00:00,445.0,444.1,445.0,48187
2018-12-20 01:00:00,445.15,445.0,445.15,21134
2018-12-21 01:00:00,450.0,444.05,450.0,91169
2018-12-24 01:00:00,450.0,446.5,450.0,15578
2018-12-25 01:00:00,459.9,447.0,448.0,3652340
2018-12-26 01:00:00,450.05,448.0,450.05,1633185
2018-12-27 01:00:00,452.9,448.3,450.05,15657
2018-12-28 01:00:00,452.9,445.15,446.0,2002
2018-12-31 01:00:00,453.0,446.0,453.0,4050093
2019-01-02 01:00:00,449.9,444.0,449.9,4770
2019-01-03 01:00:00,449.95,444.0,444.0,9340
2019-01-04 01:00:00,448.95,442.0,442.0,32188
2019-01-07 01:00:00,443.5,436.0,436.1,16010
2019-01-08 01:00:00,431.15,430.0,431.15,29804
2019-01-09 01:00:00,439.0,431.0,431.5,1146
2019-01-10 01:00:00,432.0,430.2,431.5,35796
2019-01-14 01:00:00,431.5,430.0,431.5,14023
2019-01-15 01:00:00,439.0,431.15,439.0,10080
2019-01-16 01:00:00,446.0,433.55,439.0,6845
2019-01-17 01:00:00,440.0,439.0,440.0,10011
2019-01-18 01:00:00,447.95,440.0,440.0,26975
2019-01-21 01:00:00,445.0,440.0,440.5,155
2019-01-22 01:00:00,446.0,441.0,446.0,62564
2019-01-23 01:00:00,450.0,440.55,450.0,19685
2019-01-24 01:00:00,455.0,446.1,450.0,6303
2019-01-25 01:00:00,459.0,450.0,457.0,74128
2019-01-28 01:00:00,458.0,454.0,457.0,7607
2019-01-29 01:00:00,455.0,451.1,454.0,23904
2019-01-30 01:00:00,460.0,451.2,460.0,10226
2019-01-31 01:00:00,460.0,451.0,451.0,96918
2019-02-01 01:00:00,460.0,451.0,451.0,25848
2019-02-04 01:00:00,459.3,450.0,452.5,17350
2019-02-05 01:00:00,457.85,452.55,452.6,11944
2019-02-06 01:00:00,455.0,452.5,453.0,18629
2019-02-07 01:00:00,454.95,448.0,448.0,65251
2019-02-08 01:00:00,450.0,448.0,448.15,21594
2019-02-11 01:00:00,453.2,448.7,448.7,16361
2019-02-12 01:00:00,458.0,450.1,458.0,43159
2019-02-13 01:00:00,460.0,453.6,460.0,34428
2019-02-14 01:00:00,468.0,462.0,463.0,51863
2019-02-15 01:00:00,463.5,458.0,458.0,48006
2019-02-18 01:00:00,467.75,455.15,455.15,14632
2019-02-19 01:00:00,460.0,451.55,458.5,50710
2019-02-20 01:00:00,466.0,458.0,459.0,70153
2019-02-21 01:00:00,455.0,452.0,455.0,4433
2019-02-22 01:00:00,460.0,450.0,452.0,85941
2019-02-25 01:00:00,453.15,440.0,446.0,12235
2019-02-26 01:00:00,458.0,446.0,458.0,27073
2019-02-27 01:00:00,455.0,449.0,449.0,5760
2019-02-28 01:00:00,448.0,445.0,448.0,51028
2019-03-01 01:00:00,448.0,445.0,448.0,30956
2019-03-04 01:00:00,451.9,441.0,451.9,7759
2019-03-05 01:00:00,450.5,445.05,450.0,5096
2019-03-06 01:00:00,446.0,440.3,443.0,6525
2019-03-07 01:00:00,445.0,441.3,444.5,21941
2019-03-08 01:00:00,445.0,443.1,443.1,35141
2019-03-11 01:00:00,444.0,442.25,442.25,13293
2019-03-12 01:00:00,448.9,440.15,440.15,38556
2019-03-13 01:00:00,442.0,440.0,441.0,18310
2019-03-14 01:00:00,440.05,423.55,425.25,48744
2019-03-15 01:00:00,440.0,426.1,431.2,98872
2019-03-18 01:00:00,431.2,430.0,430.6,8601
2019-03-19 01:00:00,438.9,430.0,438.1,11591
2019-03-20 01:00:00,440.0,438.1,438.1,48466
2019-03-21 01:00:00,438.1,430.0,430.0,67893
2019-03-22 01:00:00,431.0,426.0,426.0,68040
2019-03-25 00:00:00,429.85,425.0,425.25,41174
2019-03-26 00:00:00,426.0,425.0,426.0,52098
2019-03-27 00:00:00,430.0,425.1,426.55,26705
2019-03-28 00:00:00,427.25,427.0,427.0,39458
2019-03-29 00:00:00,427.0,425.0,425.0,88401
2019-04-01 00:00:00,425.05,422.15,425.0,13328
2019-04-02 00:00:00,425.5,423.0,423.0,7429
2019-04-03 00:00:00,429.0,422.0,425.0,15685
2019-04-04 00:00:00,425.0,424.9,425.0,44535
2019-04-05 00:00:00,428.9,425.0,425.0,30279
2019-04-08 00:00:00,426.0,425.0,426.0,1239
2019-04-09 00:00:00,426.0,425.0,425.0,33722
2019-04-10 00:00:00,426.0,420.2,423.0,77476
2019-04-11 00:00:00,425.0,425.0,425.0,86975
2019-04-12 00:00:00,437.7,425.1,428.0,518
2019-04-15 00:00:00,428.0,427.0,428.0,17580
2019-04-16 00:00:00,430.0,428.0,430.0,29876
2019-04-17 00:00:00,430.0,430.0,430.0,4257
2019-04-18 00:00:00,430.0,426.2,427.15,20037
2019-04-19 00:00:00,430.0,429.95,430.0,28547
2019-04-22 00:00:00,430.0,430.0,430.0,12991
2019-04-23 00:00:00,433.0,430.0,430.0,64027
2019-04-24 00:00:00,430.0,426.5,426.5,3050
2019-04-25 00:00:00,429.85,426.15,429.85,7700
2019-04-26 00:00:00,429.85,428.5,428.7,32155
2019-04-29 00:00:00,430.0,428.5,430.0,2855
2019-04-30 00:00:00,447.1,430.0,447.1,30293
2019-05-02 00:00:00,444.8,430.5,439.0,44824
2019-05-03 00:00:00,435.0,435.0,435.0,13450
2019-05-06 00:00:00,435.0,435.0,435.0,637
2019-05-07 00:00:00,440.0,435.1,439.0,9962
2019-05-08 00:00:00,443.85,435.05,438.65,19413
2019-05-09 00:00:00,440.0,435.0,439.8,43198
2019-05-10 00:00:00,443.0,439.0,443.0,22430
2019-05-13 01:00:00,442.65,442.0,442.65,21196
2019-05-14 01:00:00,444.5,442.65,443.5,23504
2019-05-15 01:00:00,450.05,440.15,450.05,67022
2019-05-16 01:00:00,453.0,451.0,451.2,25725
2019-05-17 01:00:00,458.25,451.2,452.0,77916
2019-05-20 01:00:00,457.75,436.05,452.0,29949
2019-05-21 01:00:00,450.0,447.1,449.9,30144
2019-05-22 01:00:00,449.9,449.9,449.9,11913
2019-05-23 01:00:00,448.15,445.0,445.0,34419
2019-05-24 01:00:00,450.0,447.0,448.0,12001
2019-05-27 01:00:00,452.0,448.0,451.45,56136
2019-05-28 01:00:00,457.0,452.9,457.0,336717
2019-05-29 01:00:00,457.0,454.0,454.0,9982
2019-05-30 01:00:00,450.0,445.1,446.0,35626
2019-05-31 01:00:00,446.0,443.0,443.0,70130
2019-06-03 01:00:00,443.0,443.0,443.0,390
2019-06-04 01:00:00,449.5,436.6,449.5,7411
2019-06-10 01:00:00,448.0,436.05,445.05,8633
2019-06-11 01:00:00,448.0,445.05,448.0,23201
2019-06-12 01:00:00,447.0,440.0,447.0,14306
2019-06-13 01:00:00,446.0,446.0,446.0,8316
2019-06-14 01:00:00,453.5,446.05,453.5,14617
2019-06-17 01:00:00,474.0,460.0,470.0,30178
2019-06-18 01:00:00,485.0,465.45,484.0,155467
2019-06-19 01:00:00,493.0,486.0,487.4,397729
2019-06-20 01:00:00,488.0,477.3,482.05,44042
2019-06-21 01:00:00,477.0,470.0,477.0,19431
2019-06-24 01:00:00,476.5,460.0,475.0,8212
2019-06-25 01:00:00,471.0,452.0,464.0,128612
2019-06-26 01:00:00,466.0,460.0,460.05,60938
2019-06-27 01:00:00,468.5,460.0,468.5,3854572
2019-06-28 01:00:00,466.0,460.05,466.0,556760
2019-07-01 01:00:00,466.0,460.0,463.05,91434
2019-07-02 01:00:00,462.05,460.05,462.05,34335
2019-07-03 01:00:00,470.0,461.5,470.0,13339
2019-07-04 01:00:00,473.0,460.5,470.0,8630
2019-07-05 01:00:00,472.3,470.0,472.3,649
2019-07-08 01:00:00,464.05,462.0,464.05,33570
2019-07-09 01:00:00,475.0,463.7,475.0,19204
2019-07-10 01:00:00,475.0,470.0,475.0,56815
2019-07-11 01:00:00,476.85,471.0,471.0,10304
2019-07-12 01:00:00,474.5,471.0,471.0,53889
2019-07-15 01:00:00,471.7,468.0,471.7,2801
2019-07-16 01:00:00,478.15,474.9,478.15,133509
2019-07-17 01:00:00,483.9,478.65,481.5,278204
2019-07-18 01:00:00,483.0,475.15,478.15,19869
2019-07-19 01:00:00,483.8,480.0,482.0,86080
2019-07-22 01:00:00,480.5,480.0,480.5,2146
2019-07-23 01:00:00,482.0,477.0,479.95,33099
2019-07-24 01:00:00,480.0,478.2,478.2,12395
2019-07-25 01:00:00,482.0,478.8,480.75,35333
2019-07-26 01:00:00,483.05,478.55,482.95,37476
2019-07-29 01:00:00,483.0,481.0,482.6,44101
2019-07-31 01:00:00,486.0,482.3,484.95,88244
2019-08-01 01:00:00,487.0,482.5,484.0,49796
2019-08-02 01:00:00,488.9,483.3,485.95,14073
2019-08-05 01:00:00,484.1,483.1,484.1,4129
2019-08-06 01:00:00,484.5,482.0,484.0,123363
2019-08-07 01:00:00,482.0,480.0,480.0,32781
2019-08-08 01:00:00,480.0,475.0,476.0,6556
2019-08-09 01:00:00,477.0,476.5,477.0,5064
2019-08-15 01:00:00,482.5,473.0,482.5,10330
2019-08-16 01:00:00,482.0,474.05,482.0,4186
2019-08-19 01:00:00,482.0,474.2,474.2,41
2019-08-22 01:00:00,476.5,475.0,476.5,39816
2019-08-23 01:00:00,480.0,475.05,480.0,1778
2019-08-26 01:00:00,478.1,476.0,478.1,3802
2019-08-27 01:00:00,487.0,480.0,484.05,73240
2019-08-28 01:00:00,484.15,484.1,484.15,6550
2019-08-29 01:00:00,487.75,480.1,487.75,5430
2019-08-30 01:00:00,487.75,481.0,482.5,14983
2019-09-02 01:00:00,482.5,482.0,482.0,5749
2019-09-03 01:00:00,482.0,480.0,482.0,8032
2019-09-04 01:00:00,481.05,480.0,480.0,38779
2019-09-05 01:00:00,481.0,477.0,477.0,33690
2019-09-06 01:00:00,477.1,476.1,477.05,28492
2019-09-09 01:00:00,477.15,477.0,477.0,775
2019-09-10 01:00:00,477.0,475.05,475.05,46770
2019-09-11 01:00:00,475.05,472.6,472.6,21198
2019-09-12 01:00:00,472.2,472.0,472.15,7593
2019-09-13 01:00:00,476.0,472.1,476.0,21297
2019-09-16 01:00:00,479.9,472.0,479.9,565
2019-09-17 01:00:00,479.85,472.0,473.55,5595
2019-09-18 01:00:00,473.65,473.6,473.65,7834
2019-09-19 01:00:00,479.0,472.25,479.0,67246
2019-09-20 01:00:00,475.0,471.0,471.0,39843
2019-09-23 01:00:00,471.0,467.5,467.5,3836
2019-09-24 01:00:00,467.05,466.5,467.05,35393
2019-09-25 01:00:00,466.65,466.55,466.65,3352
2019-09-26 01:00:00,479.0,466.55,470.0,12551
2019-09-27 01:00:00,479.0,470.0,479.0,26667
2019-09-30 01:00:00,479.5,473.0,479.5,69880
2019-10-01 01:00:00,480.0,475.0,480.0,15100
2019-10-02 01:00:00,475.55,472.0,472.0,27752
2019-10-03 01:00:00,472.0,472.0,472.0,16049
2019-10-04 01:00:00,472.0,465.0,465.0,75336
2019-10-07 01:00:00,465.0,465.0,465.0,104
2019-10-08 01:00:00,468.0,460.1,460.1,13557
2019-10-09 01:00:00,460.3,460.1,460.15,10170
2019-10-10 01:00:00,461.0,451.25,460.5,9624
2019-10-11 01:00:00,463.05,460.0,460.0,45487
2019-10-14 01:00:00,462.05,461.0,462.05,38072
2019-10-15 01:00:00,465.0,462.2,464.1,49619
2019-10-16 01:00:00,465.1,463.1,465.1,22297
2019-10-17 01:00:00,475.0,465.0,475.0,77538
2019-10-18 01:00:00,480.0,470.1,476.05,117951
2019-10-21 01:00:00,483.9,475.15,475.15,4632
2019-10-22 01:00:00,480.0,475.3,480.0,35248
2019-10-23 01:00:00,480.0,476.55,476.55,44344
2019-10-24 01:00:00,481.0,476.3,481.0,6469
2019-10-25 01:00:00,478.0,475.0,475.0,47253
2019-10-28 01:00:00,475.0,475.0,475.0,7378
2019-10-29 01:00:00,474.0,472.0,472.15,907803
2019-10-30 01:00:00,480.0,475.0,480.0,31017
2019-10-31 01:00:00,475.4,470.0,470.0,37708
2019-11-01 01:00:00,479.85,473.5,479.45,5522
2019-11-04 01:00:00,479.75,475.35,479.75,210
2019-11-05 01:00:00,476.0,471.5,472.4,135109
2019-11-07 01:00:00,476.0,472.4,476.0,18708
2019-11-08 01:00:00,476.0,472.7,476.0,32210
2019-11-12 01:00:00,476.0,473.55,473.7,29898
2019-11-13 01:00:00,473.7,471.1,471.1,92936
2019-11-14 01:00:00,473.55,471.1,471.1,9720
2019-11-15 01:00:00,480.0,472.0,479.0,74740
2019-11-19 01:00:00,483.0,471.0,483.0,111045
2019-11-20 01:00:00,483.0,480.0,480.1,89215
2019-11-21 01:00:00,488.85,477.0,487.0,217336
2019-11-22 01:00:00,492.0,475.05,484.95,116060
2019-11-25 01:00:00,481.05,478.25,481.05,11137
2019-11-26 01:00:00,484.0,481.0,482.8,80220
2019-11-27 01:00:00,484.0,481.0,483.05,8070
2019-11-28 01:00:00,485.0,483.0,483.1,14828
2019-11-29 01:00:00,485.0,483.0,485.0,56614
2019-12-02 01:00:00,485.0,483.1,484.5,16893
2019-12-03 01:00:00,484.0,483.0,484.0,42642
2019-12-04 01:00:00,484.0,476.5,484.0,1093
2019-12-05 01:00:00,481.0,479.15,481.0,38802
2019-12-06 01:00:00,484.5,481.1,482.05,21640
2019-12-09 01:00:00,481.5,481.0,481.15,5513
2019-12-10 01:00:00,485.0,481.6,485.0,21774
2019-12-11 01:00:00,490.0,485.0,490.0,136172
2019-12-12 01:00:00,489.9,486.1,486.1,19920
2019-12-13 01:00:00,489.95,486.1,489.95,24952
2019-12-16 01:00:00,490.0,486.1,490.0,10098
2019-12-17 01:00:00,490.0,489.0,490.0,127744
2019-12-18 01:00:00,490.0,486.7,488.95,35043
2019-12-19 01:00:00,491.85,490.0,491.5,216387
2019-12-20 01:00:00,492.6,491.6,492.6,234984
2019-12-23 01:00:00,493.0,487.7,493.0,118553
2019-12-24 01:00:00,492.0,490.0,490.0,127766
2019-12-25 01:00:00,492.0,488.1,489.0,99806
2019-12-26 01:00:00,488.1,487.1,487.15,35424
2019-12-27 01:00:00,489.0,486.0,489.0,28925
2019-12-30 01:00:00,490.0,485.25,490.0,29598
2019-12-31 01:00:00,499.0,488.0,499.0,167170
2020-01-02 01:00:00,490.0,490.0,490.0,4770
2020-01-03 01:00:00,495.0,487.0,494.95,26656
2020-01-06 01:00:00,490.5,490.0,490.5,21396
2020-01-07 01:00:00,495.0,490.5,495.0,17848
2020-01-08 01:00:00,498.0,495.0,497.0,112770
2020-01-09 01:00:00,500.2,498.0,498.95,120485
2020-01-10 01:00:00,501.9,496.5,496.5,361565
2020-01-13 01:00:00,493.15,492.05,493.15,1827
2020-01-14 01:00:00,496.55,493.5,496.55,7710
2020-01-15 01:00:00,499.0,496.65,497.95,97600
2020-01-16 01:00:00,500.0,495.1,500.0,60363
2020-01-17 01:00:00,503.0,497.1,499.0,83774
2020-01-20 01:00:00,502.9,498.3,502.9,6719
2020-01-21 01:00:00,503.0,500.0,503.0,24988
2020-01-22 01:00:00,507.0,503.0,507.0,130080
2020-01-23 01:00:00,507.0,501.1,505.0,65410
2020-01-24 01:00:00,507.0,501.2,506.0,107846
2020-01-27 01:00:00,505.5,504.0,505.0,51028
2020-01-28 01:00:00,505.0,503.0,503.0,31068
2020-01-29 01:00:00,503.0,500.0,500.0,44574
2020-01-30 01:00:00,498.0,497.1,498.0,52869
2020-01-31 01:00:00,505.0,498.0,504.0,66589
2020-02-03 01:00:00,513.0,494.0,494.0,6549
2020-02-04 01:00:00,494.0,493.9,494.0,39257
2020-02-05 01:00:00,503.0,494.05,500.0,20775
2020-02-06 01:00:00,496.05,494.0,494.0,52421
2020-02-07 01:00:00,493.0,488.05,488.5,133338
2020-02-10 01:00:00,489.1,488.5,488.5,31519
2020-02-11 01:00:00,486.0,482.5,482.85,22517
2020-02-12 01:00:00,483.05,483.05,483.05,2553
2020-02-13 01:00:00,495.0,487.05,495.0,3063
2020-02-14 01:00:00,500.1,487.5,500.1,81573
2020-02-17 01:00:00,500.0,498.0,500.0,10776
2020-02-18 01:00:00,500.1,499.1,500.0,31282
2020-02-19 01:00:00,500.0,493.05,500.0,1234
2020-02-20 01:00:00,504.0,500.0,504.0,41120
2020-02-21 01:00:00,513.0,500.0,510.0,415850
2020-02-24 01:00:00,510.1,501.1,510.1,13140
2020-02-25 01:00:00,513.0,510.0,511.0,66894
2020-02-26 01:00:00,511.0,507.0,507.0,38832
2020-02-28 01:00:00,507.0,495.0,495.0,163503
2020-03-02 01:00:00,496.0,494.0,496.0,5641
2020-03-03 01:00:00,493.0,483.8,483.8,47801
2020-03-04 01:00:00,485.0,477.0,477.0,52848
2020-03-05 01:00:00,480.0,476.0,476.0,100467
2020-03-06 01:00:00,480.0,458.0,458.0,93750
2020-03-09 01:00:00,463.0,427.0,430.2,145702
2020-03-10 01:00:00,473.2,436.0,457.0,127259
2020-03-11 01:00:00,463.0,452.5,454.0,137032
2020-03-12 01:00:00,440.0,420.0,420.0,242687
2020-03-13 01:00:00,430.0,405.0,425.0,116672
2020-03-16 01:00:00,420.0,382.55,382.55,129508
2020-03-17 01:00:00,377.0,367.25,367.25,106090
2020-03-18 01:00:00,368.0,352.6,352.6,92098
2020-03-19 01:00:00,366.7,358.0,366.7,204824
2020-03-20 01:00:00,381.35,379.0,381.35,275078
2020-03-23 00:00:00,396.6,391.0,396.6,156026
2020-03-24 00:00:00,412.45,395.05,399.0,182280
2020-03-25 00:00:00,399.0,384.0,387.95,142938
2020-03-26 00:00:00,390.0,375.5,378.0,29176
2020-03-27 00:00:00,389.0,371.9,371.9,47144
2020-03-30 00:00:00,386.0,371.0,371.9,77874
2020-03-31 00:00:00,378.0,371.9,371.9,162472
2020-04-01 00:00:00,374.95,369.95,369.95,8644
2020-04-02 00:00:00,368.0,362.0,362.0,64223
2020-04-03 00:00:00,368.0,354.0,354.0,146263
2020-04-06 00:00:00,355.0,339.85,339.85,26803
2020-04-07 00:00:00,336.55,326.3,326.3,124284
2020-04-08 00:00:00,339.0,326.35,339.0,88609
2020-04-09 00:00:00,348.0,339.0,343.0,167693
2020-04-10 00:00:00,345.0,340.0,343.9,44249
2020-04-13 00:00:00,343.1,339.0,341.0,3353
2020-04-14 00:00:00,349.8,340.5,341.0,30028
2020-04-15 00:00:00,340.0,335.0,335.0,45557
2020-04-16 00:00:00,342.0,335.3,335.3,14312
2020-04-17 00:00:00,335.5,330.0,331.25,16348
2020-04-20 00:00:00,335.0,330.0,330.0,18905
2020-04-21 00:00:00,330.1,323.0,323.0,79319
2020-04-22 00:00:00,329.9,325.0,326.0,14397
2020-04-23 00:00:00,329.0,325.0,326.0,6548
2020-04-24 00:00:00,330.0,329.0,330.0,34508
2020-04-27 00:00:00,335.05,331.0,335.05,28382
2020-04-28 00:00:00,348.45,340.0,348.45,28724
2020-04-29 00:00:00,355.0,346.0,352.05,242348
2020-04-30 00:00:00,362.0,353.0,356.2,77185
2020-05-04 00:00:00,357.1,350.0,355.0,944288
2020-05-05 00:00:00,359.9,354.05,355.0,190247
2020-05-06 00:00:00,355.0,345.0,348.5,71823
2020-05-07 00:00:00,348.5,345.0,346.05,23143
2020-05-08 00:00:00,343.7,332.25,341.95,126664
2020-05-11 01:00:00,340.0,336.5,336.5,50874
2020-05-12 01:00:00,336.75,324.95,325.0,136419
2020-05-13 01:00:00,328.9,317.45,318.1,42477
2020-05-14 01:00:00,325.0,319.0,322.7,130727
2020-05-15 01:00:00,335.0,328.95,335.0,46809
2020-05-18 01:00:00,344.0,338.0,343.95,91619
2020-05-19 01:00:00,348.0,340.1,340.1,24409
2020-05-20 01:00:00,340.1,331.0,334.0,20905
2020-05-21 01:00:00,342.5,331.0,340.0,59926
