Timestamp,High,Low,Price,Volume
2022-07-20 01:00:00,283.0,255.65,255.65,10031
2022-07-21 01:00:00,257.0,235.1,257.0,9382
2022-07-22 01:00:00,250.0,240.0,240.0,6921
2022-07-25 01:00:00,233.0,216.05,221.0,29095
2022-07-26 01:00:00,221.0,207.75,221.0,6389
2022-07-27 01:00:00,233.0,222.0,228.0,8320
2022-07-28 01:00:00,229.85,222.05,227.0,6238
2022-07-29 01:00:00,232.0,225.05,232.0,728
2022-08-01 01:00:00,235.0,230.0,235.0,3905
2022-08-02 01:00:00,239.5,235.0,239.5,364
2022-08-03 01:00:00,239.95,236.0,236.0,256
2022-08-04 01:00:00,236.0,233.0,236.0,1178
2022-08-05 01:00:00,235.0,230.5,235.0,1371
2022-08-08 01:00:00,240.0,233.2,236.1,796
2022-08-09 01:00:00,241.45,236.3,240.0,1205
2022-08-10 01:00:00,240.0,238.05,238.05,843
2022-08-11 01:00:00,244.0,238.0,244.0,5207
2022-08-12 01:00:00,245.0,243.0,245.0,203
2022-08-15 01:00:00,250.0,245.0,250.0,890
2022-08-16 01:00:00,249.45,247.2,247.5,154
2022-08-17 01:00:00,255.0,249.4,254.9,2127
2022-08-18 01:00:00,253.2,251.7,253.0,963
2022-08-19 01:00:00,254.9,251.0,251.1,615
2022-08-22 01:00:00,254.95,251.0,251.0,697
2022-08-23 01:00:00,254.9,252.0,254.7,200
2022-08-24 01:00:00,253.0,252.0,252.05,710
2022-08-25 01:00:00,252.1,252.0,252.1,194
2022-08-26 01:00:00,259.9,253.0,255.0,1721
2022-08-29 01:00:00,255.0,253.0,253.0,334
2022-08-30 01:00:00,259.0,254.95,255.0,1519
2022-08-31 01:00:00,258.0,257.0,258.0,755
2022-09-01 01:00:00,263.0,255.65,259.95,2923
2022-09-02 01:00:00,262.5,257.55,260.0,141
2022-09-05 01:00:00,261.0,258.0,260.0,365
2022-09-06 01:00:00,260.0,258.25,259.85,1191
2022-09-07 01:00:00,261.95,258.7,258.7,2587
2022-09-08 01:00:00,262.0,259.55,261.0,1256
2022-09-09 01:00:00,260.0,259.3,260.0,3398
2022-09-12 01:00:00,260.0,258.0,258.0,3162
2022-09-13 01:00:00,248.3,243.05,243.05,720
2022-09-14 01:00:00,245.5,240.0,240.5,522
2022-09-15 01:00:00,238.0,232.0,237.9,708
2022-09-16 01:00:00,237.0,230.9,234.2,951
2022-09-19 01:00:00,239.0,234.95,236.5,404
2022-09-20 01:00:00,237.0,236.1,237.0,295
2022-09-21 01:00:00,239.95,238.0,238.0,649
2022-09-22 01:00:00,245.0,240.0,243.0,5253
2022-09-23 01:00:00,247.0,235.0,235.0,5935
2022-09-26 01:00:00,239.55,232.0,233.0,1734
2022-09-27 01:00:00,234.0,231.0,231.0,899
2022-09-28 01:00:00,231.0,227.0,229.8,638
2022-09-29 01:00:00,227.0,216.05,216.05,10798
2022-09-30 01:00:00,219.95,203.1,203.1,8144
2022-10-03 01:00:00,208.5,190.95,190.95,9594
2022-10-04 01:00:00,196.0,187.0,188.15,2326
2022-10-05 01:00:00,194.95,190.0,194.9,317
2022-10-06 01:00:00,195.0,192.0,194.0,1144
2022-10-07 01:00:00,195.0,194.0,195.0,1148
2022-10-11 01:00:00,195.95,195.0,195.95,90
2022-10-12 01:00:00,198.6,198.6,198.6,30
2022-10-13 01:00:00,200.0,197.0,197.0,628
2022-10-14 01:00:00,197.0,191.0,191.0,1595
2022-10-17 01:00:00,191.0,188.5,188.5,1642
2022-10-18 01:00:00,193.0,189.0,193.0,102
2022-10-19 01:00:00,194.95,190.0,190.0,358
2022-10-20 01:00:00,190.15,187.5,187.5,167
2022-10-21 01:00:00,191.0,190.0,191.0,213
2022-10-24 01:00:00,189.0,188.0,188.0,79
2022-10-25 01:00:00,193.5,193.5,193.5,2
2022-10-26 01:00:00,190.0,185.1,190.0,542
2022-10-27 01:00:00,189.0,185.6,185.6,318
2022-10-28 01:00:00,186.0,185.0,186.0,352
2022-10-31 01:00:00,188.2,182.7,188.2,341
2022-11-01 01:00:00,188.2,188.0,188.0,63
2022-11-02 01:00:00,190.0,189.95,190.0,21
2022-11-03 01:00:00,184.5,184.35,184.35,20
2022-11-04 01:00:00,189.0,183.2,183.2,158
2022-11-07 01:00:00,183.4,182.6,183.25,527
2022-11-08 01:00:00,186.0,183.5,183.5,203
2022-11-09 01:00:00,183.35,180.05,180.05,191
2022-11-10 01:00:00,184.0,177.0,179.95,1117
2022-11-11 01:00:00,180.05,173.0,179.7,617
