Timestamp,High,Low,Price,Volume
2018-05-16 01:00:00,22.45,21.3,22.0,790206
2018-05-17 01:00:00,23.3,22.4,22.4,65636
2018-05-18 01:00:00,23.0,22.41,22.5,86955
2018-05-21 01:00:00,23.0,22.1,22.1,43919
2018-05-22 01:00:00,22.59,22.1,22.1,44577
2018-05-23 01:00:00,22.4,22.0,22.0,91665
2018-05-24 01:00:00,22.0,21.6,21.6,46010
2018-05-25 01:00:00,21.6,21.0,21.0,420460
2018-05-28 01:00:00,21.4,21.01,21.3,834345
2018-05-29 01:00:00,21.5,21.1,21.26,105095
2018-05-30 01:00:00,22.48,21.2,21.7,257013
2018-05-31 01:00:00,22.15,21.5,21.5,707068
2018-06-01 01:00:00,22.89,22.0,22.15,162181
2018-06-04 01:00:00,22.21,21.47,21.5,201147
2018-06-05 01:00:00,21.69,21.0,21.41,1178895
2018-06-06 01:00:00,21.58,21.19,21.3,302035
2018-06-07 01:00:00,21.41,21.33,21.41,168000
2018-06-08 01:00:00,21.7,21.38,21.7,68771
2018-06-11 01:00:00,21.79,21.4,21.42,629213
2018-06-12 01:00:00,21.55,21.4,21.4,110400
2018-06-13 01:00:00,21.39,20.9,20.99,809585
2018-06-14 01:00:00,21.25,20.05,20.11,704636
2018-06-18 01:00:00,20.49,20.12,20.2,118635
2018-06-19 01:00:00,21.17,20.01,20.01,246555
2018-06-20 01:00:00,20.9,20.2,20.2,11749
2018-06-21 01:00:00,21.0,20.17,20.6,84700
2018-06-22 01:00:00,21.0,20.5,20.5,78574
2018-06-25 01:00:00,20.85,20.3,20.3,12975
2018-06-26 01:00:00,20.5,20.01,20.01,102676
2018-06-27 01:00:00,20.1,19.0,19.01,5020739
2018-06-28 01:00:00,19.0,17.7,18.05,1721252
2018-06-29 01:00:00,18.6,17.71,17.71,3434820
2018-07-02 01:00:00,18.87,18.1,18.3,425625
2018-07-03 01:00:00,18.3,17.7,17.89,299802
2018-07-04 01:00:00,17.99,17.7,17.8,584442
2018-07-05 01:00:00,18.65,17.9,18.5,51867
2018-07-06 01:00:00,19.48,18.3,18.8,811546
2018-07-09 01:00:00,18.75,18.12,18.12,147749
2018-07-10 01:00:00,18.67,18.17,18.21,30749
2018-07-11 01:00:00,18.12,17.71,17.8,258022
2018-07-12 01:00:00,18.24,17.73,18.0,11222
2018-07-13 01:00:00,18.0,17.6,17.85,215033
2018-07-16 01:00:00,18.22,17.7,18.0,21825
2018-07-17 01:00:00,17.99,17.85,17.98,90646
2018-07-18 01:00:00,18.0,17.86,17.9,501046
2018-07-19 01:00:00,18.0,17.88,17.88,168574
2018-07-20 01:00:00,18.35,18.0,18.13,360949
2018-07-23 01:00:00,18.73,18.14,18.29,64181
2018-07-24 01:00:00,18.6,18.0,18.06,207084
2018-07-25 01:00:00,18.29,18.0,18.29,371710
2018-07-26 01:00:00,18.3,18.04,18.05,109819
2018-07-27 01:00:00,18.19,17.93,18.02,226645
2018-07-31 01:00:00,18.24,18.01,18.13,282324
2018-08-01 01:00:00,18.7,18.13,18.46,79118
2018-08-02 01:00:00,18.74,18.5,18.53,47533
2018-08-03 01:00:00,18.75,18.25,18.25,128439
2018-08-06 01:00:00,18.5,18.3,18.3,17115
2018-08-07 01:00:00,18.49,18.16,18.16,29989
2018-08-08 01:00:00,18.4,18.2,18.28,11705
2018-08-09 01:00:00,18.39,18.17,18.25,16931
2018-08-10 01:00:00,18.3,17.95,18.13,186183
2018-08-13 01:00:00,18.29,18.03,18.04,35696
2018-08-15 01:00:00,18.37,17.95,18.0,178697
2018-08-16 01:00:00,18.29,17.7,17.7,266014
2018-08-17 01:00:00,17.94,17.6,17.8,190224
