Timestamp,High,Low,Price,Volume
2018-05-18 01:00:00,2088,2088,2088,905
2018-05-21 01:00:00,2088,2088,2088,304
2018-05-24 01:00:00,2140,2118,2140,45
2018-05-25 01:00:00,2350,2350,2350,4118
2018-05-31 01:00:00,2200,2200,2200,50
2018-06-01 01:00:00,2125,2080,2080,104
2018-06-04 01:00:00,2100,2100,2100,1000
2018-06-06 01:00:00,2080,2080,2080,730
2018-06-07 01:00:00,2080,2080,2080,4255
2018-06-08 01:00:00,2080,2080,2080,50
2018-06-12 01:00:00,2079,2079,2079,1411
2018-06-14 01:00:00,2080,2071,2071,115
2018-06-18 01:00:00,2080,2020,2020,567
2018-06-20 01:00:00,2020,2020,2020,143
2018-06-21 01:00:00,2079,2020,2079,1840
2018-06-22 01:00:00,2100,2100,2100,54
2018-06-25 01:00:00,2200,2100,2100,333
2018-06-26 01:00:00,2274,2040,2040,522
2018-06-28 01:00:00,2040,2040,2040,872
2018-06-29 01:00:00,2147,2100,2100,50
2018-07-02 01:00:00,2042,2020,2030,210
2018-07-03 01:00:00,2040,2040,2040,427
2018-07-06 01:00:00,2190,2190,2190,10
2018-07-09 01:00:00,2100,2100,2100,2
2018-07-10 01:00:00,2101,2100,2100,192
2018-07-11 01:00:00,2101,2100,2100,1939
2018-07-12 01:00:00,2135,2134,2135,106
2018-07-13 01:00:00,2108,2107,2108,15
2018-07-17 01:00:00,2106,2100,2100,914
2018-07-19 01:00:00,2040,2040,2040,32
2018-07-20 01:00:00,2100,2040,2100,838
2018-07-23 01:00:00,2100,2100,2100,13
2018-07-24 01:00:00,2022,2022,2022,21
2018-07-25 01:00:00,2076,2069,2069,40
2018-07-26 01:00:00,2100,2076,2100,206
2018-07-27 01:00:00,2120,2100,2120,619
2018-07-31 01:00:00,2120,2042,2120,64
2018-08-01 01:00:00,2120,2075,2075,101
2018-08-10 01:00:00,2080,2080,2080,48
2018-08-15 01:00:00,2082,2081,2082,1326
2018-08-16 01:00:00,2082,2061,2061,326
2018-08-17 01:00:00,2100,2100,2100,16
2018-08-27 01:00:00,2040,2040,2040,4
2018-08-28 01:00:00,2050,2020,2020,142
2018-08-30 01:00:00,2010,2000,2010,8
2018-08-31 01:00:00,2011,1977,1977,2881
2018-09-05 01:00:00,2010,2000,2000,965
2018-09-06 01:00:00,2020,2020,2020,2100
2018-09-07 01:00:00,1900,1900,1900,929
2018-09-10 01:00:00,2035,1956,2035,200
2018-09-12 01:00:00,2035,2035,2035,144
2018-09-14 01:00:00,1925,1925,1925,658
2018-09-18 01:00:00,1900,1850,1850,531
2018-09-19 01:00:00,1910,1900,1910,613
2018-09-21 01:00:00,1900,1900,1900,57
2018-09-24 01:00:00,1901,1900,1900,88
2018-09-25 01:00:00,1950,1900,1950,2657
2018-09-26 01:00:00,1950,1950,1950,282
2018-09-27 01:00:00,1950,1950,1950,900
2018-09-28 01:00:00,1965,1950,1950,1414
2018-10-01 01:00:00,1901,1901,1901,88
2018-10-02 01:00:00,1900,1900,1900,191
2018-10-03 01:00:00,1900,1900,1900,10
2018-10-04 01:00:00,1901,1901,1901,4431
2018-10-10 01:00:00,1970,1950,1970,3057
2018-10-11 01:00:00,2000,1999,2000,3604
2018-10-12 01:00:00,2000,2000,2000,8427
2018-10-15 01:00:00,2000,2000,2000,10
2018-10-16 01:00:00,2000,2000,2000,4
2018-10-17 01:00:00,2000,2000,2000,11
2018-10-18 01:00:00,2000,1999,2000,327
2018-10-19 01:00:00,1900,1900,1900,600
2018-10-22 01:00:00,1986,1986,1986,4
2018-10-26 01:00:00,1997,1997,1997,310
2018-10-30 01:00:00,1965,1965,1965,75
2018-10-31 01:00:00,1965,1965,1965,2
2018-11-01 01:00:00,1965,1965,1965,3965
2018-11-02 01:00:00,1960,1909,1909,146
2018-11-08 01:00:00,1965,1955,1955,1686
2018-11-09 01:00:00,1915,1911,1911,2
2018-11-13 01:00:00,1915,1900,1911,2519
2018-11-15 01:00:00,1902,1901,1901,1950
2018-11-16 01:00:00,1957,1957,1957,18
2018-11-23 01:00:00,1950,1950,1950,1706
2018-11-29 01:00:00,1949,1949,1949,41002
2018-11-30 01:00:00,1960,1945,1960,41000
2018-12-05 01:00:00,1949,1949,1949,24200
2018-12-06 01:00:00,1949,1949,1960,24200
2018-12-11 01:00:00,1947,1947,1947,3575
2018-12-12 01:00:00,1944,1943,1943,1238
2018-12-13 01:00:00,1944,1944,1944,2
2018-12-14 01:00:00,1945,1945,1945,20
2018-12-17 01:00:00,1945,1945,1945,50
2018-12-18 01:00:00,1941,1941,1941,51274
2018-12-19 01:00:00,1938,1929,1929,529
2018-12-24 01:00:00,1930,1930,1930,156
2018-12-27 01:00:00,1930,1930,1930,1240
2018-12-28 01:00:00,1930,1901,1901,2168
2018-12-31 01:00:00,1949,1909,1949,17930
2019-01-03 01:00:00,1940,1940,1940,375
2019-01-04 01:00:00,1835,1835,1835,127
2019-01-07 01:00:00,1900,1900,1900,823
2019-01-09 01:00:00,1900,1900,1900,3076
2019-01-15 01:00:00,1900,1900,1900,5150
2019-01-16 01:00:00,1900,1900,1900,124
2019-01-17 01:00:00,1924,1851,1924,17
2019-01-18 01:00:00,1856,1856,1856,117
2019-01-23 01:00:00,1900,1860,1900,930
2019-01-24 01:00:00,1900,1900,1900,1952
2019-01-25 01:00:00,1901,1900,1900,601
2019-01-29 01:00:00,1900,1900,1900,18
2019-01-30 01:00:00,1930,1910,1930,5418
2019-01-31 01:00:00,1940,1930,1930,3075
2019-02-01 01:00:00,1950,1930,1930,1632
2019-02-05 01:00:00,1951,1951,1951,679
2019-02-07 01:00:00,1955,1955,1955,4000
2019-02-08 01:00:00,1980,1980,1980,2
2019-02-12 01:00:00,2045,2000,2045,1055
2019-02-14 01:00:00,2050,2050,2050,896
2019-02-18 01:00:00,2120,2080,2120,10198
2019-02-19 01:00:00,2120,2120,2120,3582
2019-02-20 01:00:00,2120,2120,2120,769
2019-02-22 01:00:00,2120,2120,2120,422
2019-02-25 01:00:00,2150,2120,2150,2200
2019-02-28 01:00:00,2150,2150,2150,445
2019-03-01 01:00:00,2149,2120,2149,1450
2019-03-05 01:00:00,2123,2120,2120,1571
2019-03-06 01:00:00,2120,2120,2120,50
2019-03-11 01:00:00,2120,2120,2120,905
2019-03-13 01:00:00,2100,2100,2100,200
2019-03-15 01:00:00,2100,2100,2100,200
2019-03-18 01:00:00,2195,2195,2195,36
2019-03-19 01:00:00,2185,2185,2185,20
2019-03-20 01:00:00,2195,2150,2195,5354
2019-03-21 01:00:00,2185,2150,2185,586
2019-03-22 01:00:00,2220,2152,2200,4399
2019-03-25 00:00:00,2200,2200,2200,900
2019-03-26 00:00:00,2199,2199,2199,30
2019-03-27 00:00:00,2151,2151,2151,100
