Timestamp,High,Low,Price,Volume
2018-05-16 01:00:00,220.0,220.0,220.0,70
2018-05-18 01:00:00,220.0,220.0,220.0,34
2018-05-23 01:00:00,220.0,220.0,220.0,15
2018-05-24 01:00:00,220.0,220.0,220.0,5
2018-05-28 01:00:00,220.0,220.0,220.0,5
2018-05-29 01:00:00,239.0,239.0,239.0,350
2018-05-30 01:00:00,240.0,239.0,239.0,354
2018-05-31 01:00:00,239.0,239.0,239.0,5
2018-06-01 01:00:00,239.0,239.0,239.0,16
2018-06-13 01:00:00,229.0,229.0,229.0,20
2018-07-11 01:00:00,215.0,215.0,215.0,2
2018-07-27 01:00:00,202.15,202.15,202.15,8
2018-08-10 01:00:00,202.2,202.2,202.2,8
2018-08-16 01:00:00,203.05,203.05,203.05,20
2018-08-27 01:00:00,203.0,203.0,203.0,50
2018-08-31 01:00:00,203.0,203.0,203.0,24
2018-09-07 01:00:00,190.9,190.9,190.9,58
2018-09-18 01:00:00,202.0,202.0,202.0,18
2018-09-21 01:00:00,202.0,202.0,202.0,2
2018-09-28 01:00:00,199.95,199.95,199.95,1
2018-10-01 01:00:00,199.9,199.9,199.9,15
2018-10-05 01:00:00,199.95,199.95,199.95,1
2018-10-11 01:00:00,199.9,199.9,199.9,10
2018-10-22 01:00:00,204.5,204.5,204.5,4
2018-10-23 01:00:00,199.9,199.9,199.9,30076
2018-10-25 01:00:00,211.0,211.0,211.0,106
2018-10-26 01:00:00,223.0,223.0,223.0,2965
2018-10-29 01:00:00,223.0,223.0,223.0,2837
2018-11-19 01:00:00,211.0,211.0,211.0,19
2018-12-18 01:00:00,211.0,211.0,211.0,10
2018-12-28 01:00:00,209.0,209.0,209.0,13
2019-01-08 01:00:00,208.0,208.0,208.0,5
2019-01-16 01:00:00,198.0,198.0,198.0,7
2019-01-22 01:00:00,207.0,207.0,207.0,12
2019-02-22 01:00:00,194.6,194.6,194.6,67
2019-04-24 00:00:00,183.0,183.0,183.0,10
2019-04-25 00:00:00,172.05,172.05,172.05,502
2019-04-26 00:00:00,170.0,170.0,170.0,38
2019-04-30 00:00:00,159.85,159.85,159.85,13
2019-05-02 00:00:00,150.3,150.3,150.3,3
2019-05-03 00:00:00,141.3,141.3,141.3,7
