Timestamp,High,Low,Price,Volume
2018-06-05 02:00:00,2091,2091,2091,1
2018-07-06 02:00:00,2134,2134,2134,1
2018-07-18 02:00:00,2150,2150,2150,290
2018-07-20 02:00:00,2200,2200,2200,2
2018-08-31 02:00:00,2297,2297,2297,1
2018-10-15 02:00:00,2297,2297,2297,172
2018-12-17 01:00:00,2289,2289,2289,400
2019-05-31 02:00:00,2152,2152,2152,3
2019-06-03 02:00:00,2152,2152,2152,32
2019-06-14 02:00:00,2100,2100,2100,412
2019-07-18 02:00:00,1975,1975,1975,27
2019-08-01 02:00:00,1857,1857,1857,42
2019-08-15 02:00:00,1902,1902,1902,1
2019-09-30 02:00:00,2016,2016,2016,15
2019-10-01 02:00:00,2136,2136,2136,15
2019-10-02 02:00:00,2240,2240,2240,56
2019-10-03 02:00:00,2300,2300,2300,10578
2019-10-09 02:00:00,2240,2240,2240,20
2019-12-02 01:00:00,2106,2106,2106,56
2019-12-09 01:00:00,2200,2200,2200,10
2020-01-27 01:00:00,2331,2331,2331,20
2020-06-22 02:00:00,2281,2281,2281,1
2020-07-07 02:00:00,2236,2236,2236,10
2020-07-08 02:00:00,2192,2192,2192,10
2020-07-09 02:00:00,2149,2149,2149,14
2020-07-10 02:00:00,2107,2107,2107,50
2020-07-14 02:00:00,2100,2100,2100,10
2020-07-16 02:00:00,2100,2100,2100,225
2020-08-19 02:00:00,2059,2059,2059,24
2020-09-10 02:00:00,2018,2018,2018,1
2020-09-29 02:00:00,1978,1978,1978,1
2020-12-17 01:00:00,1985,1985,1985,1
2021-02-15 01:00:00,2024,2024,2024,6
2021-02-16 01:00:00,2064,2064,2064,2
2021-06-07 02:00:00,2023,2023,2023,12
2021-06-21 02:00:00,2002,2002,2002,1
2021-08-24 02:00:00,1980,1980,1980,8
2021-10-11 02:00:00,1941,1941,1941,8
2022-01-07 01:00:00,1941,1941,1941,1300
2022-01-14 01:00:00,1920,1920,1920,42
2022-01-17 01:00:00,1941,1941,1941,428
2022-01-18 01:00:00,1870,1870,1870,4
2022-03-09 01:00:00,1944,1944,1944,5
2022-03-11 01:00:00,1867,1867,1867,1
2022-03-16 01:00:00,1860,1860,1860,1
2022-03-28 02:00:00,1934,1934,1934,3
2022-03-31 02:00:00,1999,1999,1999,298
2022-04-14 02:00:00,2075,2075,2075,60
2022-04-28 02:00:00,1995,1995,1995,3
2022-05-05 02:00:00,1920,1920,1920,1
2022-05-06 02:00:00,1902,1902,1902,1
2022-05-16 02:00:00,1978,1978,1978,1
2022-09-06 02:00:00,1817,1817,1817,7
