Timestamp,High,Low,Price,Volume
2018-05-25 02:00:00,24.76,24.76,24.76,181
2018-06-01 02:00:00,24.0,24.0,24.0,96
2018-06-08 02:00:00,24.67,24.67,24.67,25
2018-06-12 02:00:00,24.7,24.67,24.7,400
2018-06-14 02:00:00,24.7,24.69,24.7,3
2018-06-18 02:00:00,23.06,23.06,23.06,3
2018-06-21 02:00:00,25.35,24.56,24.56,19
2018-06-25 02:00:00,24.1,23.0,23.0,1798
2018-06-28 02:00:00,23.5,23.5,23.5,150
2018-06-29 02:00:00,23.5,23.0,23.0,445
2018-07-03 02:00:00,23.5,23.5,23.5,400
2018-07-06 02:00:00,23.51,23.51,23.51,450
2018-07-09 02:00:00,24.34,24.34,24.34,20
2018-07-11 02:00:00,24.49,24.49,24.49,100
2018-07-16 02:00:00,24.0,24.0,24.0,129
2018-07-17 02:00:00,24.4,24.4,24.4,200
2018-07-18 02:00:00,24.2,24.2,24.2,130
2018-07-20 02:00:00,24.4,24.2,24.4,117
2018-07-26 02:00:00,24.1,24.0,24.0,1500
2018-08-06 02:00:00,24.4,24.4,24.4,20
2018-08-10 02:00:00,23.52,23.52,23.52,32
2018-08-13 02:00:00,23.52,23.52,23.52,137
2018-08-27 02:00:00,24.5,24.5,24.5,20
2018-08-31 02:00:00,24.56,24.56,24.56,8
2018-09-07 02:00:00,24.2,24.2,24.2,369
2018-09-12 02:00:00,24.25,24.2,24.25,140
2018-09-14 02:00:00,24.25,24.25,24.25,100
2018-09-17 02:00:00,24.27,24.27,24.27,105
2018-09-26 02:00:00,23.05,23.05,23.05,262
2018-10-05 02:00:00,23.07,23.07,23.07,99
2018-10-08 02:00:00,23.25,23.25,23.25,3
2018-10-10 02:00:00,23.25,23.25,23.25,300
2018-10-18 02:00:00,24.0,23.07,24.0,58
2018-10-19 02:00:00,23.07,23.07,23.07,130
2018-11-09 01:00:00,22.8,22.8,22.8,2080
2018-11-12 01:00:00,22.8,22.8,22.8,450
2018-11-13 01:00:00,22.8,22.8,22.8,4220
2018-11-15 01:00:00,23.0,23.0,23.0,200
2018-11-22 01:00:00,23.8,23.8,23.8,198
2018-11-26 01:00:00,23.89,22.85,23.89,30
2018-12-04 01:00:00,23.0,23.0,23.0,1012
2018-12-07 01:00:00,22.8,22.8,22.8,4000
2018-12-10 01:00:00,24.71,22.85,24.0,428
2018-12-12 01:00:00,24.01,24.01,24.01,56
2018-12-13 01:00:00,24.01,24.0,24.0,11481
2018-12-14 01:00:00,24.0,24.0,24.0,26780
2018-12-19 01:00:00,25.6,24.99,25.55,3245
2018-12-21 01:00:00,25.6,25.6,25.6,10
2018-12-24 01:00:00,28.15,28.0,28.15,3458
2018-12-25 01:00:00,28.25,28.0,28.0,116012
2018-12-27 01:00:00,30.79,28.25,30.0,39702
2018-12-28 01:00:00,30.0,30.0,30.0,13849
2018-12-31 01:00:00,30.0,30.0,30.0,6365
2019-01-02 01:00:00,32.0,31.0,32.0,1001
2019-01-03 01:00:00,35.19,31.99,35.19,1600
2019-01-04 01:00:00,35.19,35.19,35.19,500
2019-01-07 01:00:00,35.0,31.68,31.68,896
2019-01-08 01:00:00,31.7,30.0,30.0,453
2019-01-14 01:00:00,32.0,31.98,31.99,602
2019-01-15 01:00:00,31.99,31.99,31.99,370
2019-01-16 01:00:00,31.99,31.98,31.99,233
2019-01-21 01:00:00,32.5,32.0,32.5,296
2019-01-22 01:00:00,34.99,34.7,34.7,57
2019-01-23 01:00:00,34.69,34.49,34.69,250
2019-01-24 01:00:00,34.99,34.99,34.99,557
2019-01-25 01:00:00,38.4,35.0,38.4,2852
2019-01-28 01:00:00,39.4,35.0,38.22,265800
2019-01-29 01:00:00,39.99,38.89,39.99,549
2019-01-30 01:00:00,41.96,37.2,38.31,8585
2019-01-31 01:00:00,41.99,35.5,35.5,3131
2019-02-01 01:00:00,38.8,38.8,38.8,10
2019-02-04 01:00:00,41.0,39.2,39.3,1472
2019-02-06 01:00:00,43.19,40.16,43.19,3462
2019-02-07 01:00:00,43.16,40.95,41.1,1070
2019-02-08 01:00:00,41.4,39.63,41.4,2777
2019-02-11 01:00:00,42.5,41.0,41.0,1210
2019-02-12 01:00:00,41.0,41.0,41.0,133
2019-02-13 01:00:00,43.0,41.0,43.0,3621
2019-02-14 01:00:00,45.0,41.72,41.72,835
2019-02-15 01:00:00,43.0,42.0,42.0,137
2019-02-18 01:00:00,41.25,40.75,40.75,10000
2019-02-19 01:00:00,40.81,40.1,40.1,220
2019-02-20 01:00:00,40.8,40.8,40.8,18
2019-02-21 01:00:00,40.8,40.8,40.8,23
2019-02-22 01:00:00,40.1,40.0,40.0,1310
2019-02-25 01:00:00,37.61,37.61,37.61,330
2019-02-26 01:00:00,38.0,38.0,38.0,1
2019-02-27 01:00:00,38.0,37.5,37.5,1880
2019-02-28 01:00:00,37.5,37.5,37.5,504
2019-03-07 01:00:00,37.5,37.5,37.5,55
2019-03-08 01:00:00,37.1,37.1,37.1,120
2019-03-11 01:00:00,37.0,36.0,36.0,589
2019-03-13 01:00:00,35.01,35.01,35.01,1363
2019-03-14 01:00:00,35.0,35.0,35.0,10
2019-03-15 01:00:00,33.2,33.2,33.2,1451
2019-03-18 01:00:00,33.1,33.05,33.05,71
2019-03-19 01:00:00,35.45,35.45,35.45,3
2019-03-21 01:00:00,32.0,31.91,32.0,2217
2019-03-22 01:00:00,34.4,32.95,34.4,102
2019-03-28 01:00:00,34.3,32.7,34.3,160
2019-03-29 01:00:00,31.8,31.8,31.8,362
2019-04-01 02:00:00,34.0,34.0,34.0,3
2019-04-11 02:00:00,32.0,31.5,32.0,703
2019-04-16 02:00:00,34.0,31.5,31.5,15
2019-04-19 02:00:00,31.0,30.65,31.0,45
2019-04-22 02:00:00,31.0,31.0,31.0,2
2019-04-23 02:00:00,31.0,31.0,31.0,146
2019-04-24 02:00:00,31.1,31.0,31.0,122
2019-04-30 02:00:00,31.48,28.0,31.48,1126
2019-05-03 02:00:00,32.4,32.4,32.4,3
2019-05-06 02:00:00,32.0,29.5,32.0,149
2019-05-07 02:00:00,32.3,29.5,32.3,1002
2019-05-09 02:00:00,31.4,29.15,31.4,3004
2019-05-13 02:00:00,30.5,30.5,30.5,300
2019-05-14 02:00:00,31.4,31.4,31.4,4
2019-05-15 02:00:00,31.27,30.0,31.27,57
2019-05-16 02:00:00,31.27,29.0,29.0,219
2019-05-17 02:00:00,31.19,30.0,30.0,7
2019-05-20 02:00:00,31.0,31.0,31.0,3
2019-05-21 02:00:00,29.01,29.0,29.0,513
2019-05-22 02:00:00,30.99,30.99,30.99,4
2019-05-28 02:00:00,30.7,28.5,30.7,103
2019-05-31 02:00:00,33.76,30.5,33.76,3399
2019-06-03 02:00:00,35.7,35.0,35.0,2788
2019-06-04 02:00:00,35.0,35.0,35.0,1104
2019-06-10 02:00:00,35.01,35.0,35.0,5159
2019-06-11 02:00:00,35.0,35.0,35.0,114
2019-06-18 02:00:00,31.52,31.52,31.52,20
2019-06-20 02:00:00,34.65,34.65,34.65,2
2019-06-27 02:00:00,34.0,34.0,34.0,100
2019-07-01 02:00:00,30.61,30.61,30.61,200
2019-07-03 02:00:00,33.66,33.66,33.66,1
2019-07-04 02:00:00,31.0,31.0,31.0,335
2019-07-05 02:00:00,32.99,32.0,32.0,200
2019-07-08 02:00:00,30.1,30.1,30.1,4
2019-07-09 02:00:00,32.0,31.35,31.35,936
2019-07-10 02:00:00,32.0,32.0,32.0,655
2019-07-11 02:00:00,32.0,31.35,32.0,52
2019-07-16 02:00:00,32.0,32.0,32.0,480
2019-07-17 02:00:00,32.0,31.5,32.0,584
2019-07-18 02:00:00,31.5,31.5,31.5,3
2019-07-19 02:00:00,32.0,31.5,31.5,111
2019-07-22 02:00:00,32.0,31.35,32.0,7
2019-07-23 02:00:00,32.0,32.0,32.0,200
2019-07-24 02:00:00,32.0,31.35,31.35,114
2019-07-25 02:00:00,32.0,32.0,32.0,1
2019-07-26 02:00:00,32.0,31.35,32.0,152
2019-07-29 02:00:00,31.35,31.35,31.35,20
2019-07-31 02:00:00,32.0,31.3,31.3,110
2019-08-01 02:00:00,32.0,32.0,32.0,2
2019-08-02 02:00:00,32.0,31.0,31.5,189
2019-08-07 02:00:00,32.0,32.0,32.0,1
2019-08-08 02:00:00,32.0,31.0,32.0,26
2019-08-15 02:00:00,32.0,31.0,32.0,22
2019-08-19 02:00:00,32.0,32.0,32.0,456
2019-08-23 02:00:00,33.0,33.0,33.0,251
2019-08-28 02:00:00,33.0,33.0,33.0,249
2019-08-29 02:00:00,35.49,33.0,34.2,3086
2019-08-30 02:00:00,33.51,33.1,33.1,1000
2019-09-02 02:00:00,34.1,34.1,34.1,50
2019-09-03 02:00:00,33.6,33.6,33.6,2
2019-09-04 02:00:00,35.0,35.0,35.0,1
2019-09-09 02:00:00,33.61,33.61,33.61,251
2019-09-10 02:00:00,35.0,34.0,35.0,89
2019-09-11 02:00:00,35.0,35.0,35.0,20
2019-09-12 02:00:00,34.0,34.0,34.0,4
2019-09-13 02:00:00,35.0,34.5,34.5,76
2019-09-20 02:00:00,34.0,33.5,33.5,191
2019-09-23 02:00:00,33.5,33.0,33.0,1400
2019-09-24 02:00:00,32.05,32.05,32.05,70
2019-09-25 02:00:00,35.0,35.0,35.0,1
2019-09-30 02:00:00,35.0,35.0,35.0,2
2019-10-01 02:00:00,33.0,33.0,33.0,300
2019-10-02 02:00:00,33.0,33.0,33.0,215
2019-10-03 02:00:00,33.0,32.0,32.0,1295
2019-10-04 02:00:00,32.0,30.51,30.51,219
2019-10-07 02:00:00,33.5,30.0,33.5,885
2019-10-08 02:00:00,33.5,33.5,33.5,34
2019-10-16 02:00:00,35.0,31.25,32.1,1882
2019-10-28 01:00:00,31.5,28.9,31.5,9993
2019-10-29 01:00:00,31.0,30.1,30.99,565
2019-10-30 01:00:00,30.79,30.79,30.79,82
2019-10-31 01:00:00,30.7,30.7,30.7,20
2019-11-07 01:00:00,30.98,30.98,30.98,2
2019-11-13 01:00:00,30.87,30.0,30.87,711
2019-11-21 01:00:00,29.95,29.95,29.95,368
2019-11-26 01:00:00,30.94,30.94,30.94,2
2019-11-28 01:00:00,30.92,30.91,30.91,180
2019-12-02 01:00:00,29.61,29.6,29.6,181
