Timestamp,High,Low,Price,Volume
2018-05-29 02:00:00,142.5,141.05,141.55,74323
2018-05-30 02:00:00,143.1,141.55,143.1,255238
2018-05-31 02:00:00,144.0,142.6,143.1,194688
2018-06-01 02:00:00,143.2,143.0,143.15,104893
2018-06-04 02:00:00,144.05,143.5,144.05,7999
2018-06-05 02:00:00,144.0,143.55,144.0,103314
2018-06-06 02:00:00,144.9,144.0,144.2,14647
2018-06-07 02:00:00,147.0,144.0,147.0,75852
2018-06-08 02:00:00,147.0,145.5,146.0,96111
2018-06-11 02:00:00,146.9,145.55,146.9,33780
2018-06-12 02:00:00,147.5,146.7,146.7,96539
2018-06-13 02:00:00,147.0,144.0,146.5,64017
2018-06-14 02:00:00,146.25,145.0,145.0,94521
2018-06-18 02:00:00,145.7,144.05,144.9,20812
2018-06-19 02:00:00,145.0,144.0,144.0,73434
2018-06-20 02:00:00,144.9,143.5,143.8,96502
2018-06-21 02:00:00,144.5,143.3,143.3,49376
2018-06-22 02:00:00,143.0,142.75,142.85,20859
2018-06-25 02:00:00,143.95,141.9,142.0,28084
2018-06-26 02:00:00,141.9,139.5,139.75,416508
2018-06-27 02:00:00,140.5,139.5,140.0,127176
2018-06-28 02:00:00,140.7,139.65,139.75,38599
2018-06-29 02:00:00,140.0,138.5,138.5,175588
2018-07-02 02:00:00,139.8,138.5,139.0,59999
2018-07-03 02:00:00,139.95,138.0,138.05,228780
2018-07-04 02:00:00,138.5,137.25,137.5,32508
2018-07-05 02:00:00,138.0,137.5,137.5,40707
2018-07-06 02:00:00,138.5,137.6,137.7,11541
2018-07-09 02:00:00,138.5,137.5,138.0,25085
2018-07-10 02:00:00,139.0,137.8,138.0,10875
2018-07-11 02:00:00,138.0,137.0,137.0,203981
2018-07-12 02:00:00,137.9,137.0,137.5,3209
2018-07-13 02:00:00,137.5,136.75,136.75,397208
2018-07-16 02:00:00,137.9,136.25,136.75,94390
2018-07-17 02:00:00,137.9,136.25,136.25,114778
2018-07-18 02:00:00,136.85,136.0,136.85,2378
2018-07-19 02:00:00,136.5,136.0,136.35,37247
2018-07-20 02:00:00,136.7,136.15,136.3,45512
2018-07-23 02:00:00,142.0,137.3,141.0,64597
2018-07-24 02:00:00,143.0,141.55,142.5,43797
2018-07-25 02:00:00,143.4,141.7,142.5,17714
2018-07-26 02:00:00,143.0,142.0,142.75,27088
2018-07-27 02:00:00,143.55,142.5,142.75,137354
2018-07-31 02:00:00,142.85,142.3,142.3,93122
2018-08-01 02:00:00,143.25,141.0,141.95,21126
2018-08-02 02:00:00,142.5,141.0,142.5,35245
2018-08-03 02:00:00,142.9,142.0,142.5,55800
2018-08-06 02:00:00,143.25,142.0,142.5,6928
2018-08-07 02:00:00,142.95,141.6,142.55,41053
2018-08-08 02:00:00,142.8,142.05,142.75,29400
2018-08-09 02:00:00,142.3,142.0,142.0,74073
2018-08-10 02:00:00,143.0,141.5,142.0,2657
2018-08-13 02:00:00,142.0,141.0,141.0,56495
2018-08-15 02:00:00,142.5,141.0,141.8,1796
2018-08-16 02:00:00,142.4,141.0,141.0,157723
2018-08-17 02:00:00,142.3,140.5,142.0,8065
2018-08-24 02:00:00,142.0,141.7,141.95,97755
2018-08-27 02:00:00,142.5,141.95,142.1,27550
2018-08-28 02:00:00,143.5,142.0,143.5,163797
2018-08-29 02:00:00,143.45,142.75,142.8,30783
