Timestamp,High,Low,Price,Volume
2018-05-25 02:00:00,1911,1857,1911,56649
2018-05-28 02:00:00,1862,1862,1862,14
2018-05-29 02:00:00,1864,1834,1860,51029
2018-05-30 02:00:00,1850,1845,1845,370
2018-05-31 02:00:00,1895,1805,1805,6975
2018-06-01 02:00:00,1820,1755,1755,1107
2018-06-04 02:00:00,1780,1780,1780,200
2018-06-07 02:00:00,1786,1780,1785,381
2018-06-11 02:00:00,1785,1785,1785,900
2018-06-12 02:00:00,1796,1788,1796,6560
2018-06-14 02:00:00,1845,1780,1780,2628
2018-06-18 02:00:00,1787,1770,1770,900
2018-06-19 02:00:00,1760,1720,1760,5283
2018-06-20 02:00:00,1760,1760,1760,8180
2018-06-21 02:00:00,1778,1760,1760,7569
2018-06-22 02:00:00,1760,1750,1751,8010
2018-06-25 02:00:00,1765,1747,1747,1513
2018-06-26 02:00:00,1773,1705,1740,721
2018-06-27 02:00:00,1749,1711,1749,6053
2018-06-29 02:00:00,1746,1706,1706,105
2018-07-02 02:00:00,1730,1700,1730,844
2018-07-03 02:00:00,1706,1663,1665,10717
2018-07-04 02:00:00,1719,1680,1719,1001
2018-07-05 02:00:00,1700,1680,1680,1001
2018-07-06 02:00:00,1700,1680,1680,7547
2018-07-09 02:00:00,1730,1680,1730,63
2018-07-10 02:00:00,1738,1738,1738,51
2018-07-11 02:00:00,1700,1682,1690,1150
2018-07-12 02:00:00,1719,1682,1719,8
2018-07-13 02:00:00,1700,1667,1667,7155
2018-07-16 02:00:00,1680,1661,1680,14715
2018-07-17 02:00:00,1680,1660,1660,4132
2018-07-18 02:00:00,1661,1660,1660,1162
2018-07-19 02:00:00,1660,1635,1640,173
2018-07-20 02:00:00,1650,1630,1636,646
2018-07-24 02:00:00,1640,1636,1636,5
2018-07-25 02:00:00,1665,1665,1665,155
2018-07-26 02:00:00,1670,1670,1670,1
2018-07-27 02:00:00,1703,1700,1700,611
2018-07-31 02:00:00,1723,1680,1723,2821
2018-08-01 02:00:00,1704,1704,1704,2
2018-08-02 02:00:00,1800,1701,1721,232
2018-08-03 02:00:00,1745,1725,1745,2000
2018-08-06 02:00:00,1797,1797,1797,2
2018-08-07 02:00:00,1796,1750,1796,2166
2018-08-08 02:00:00,1796,1750,1790,506
2018-08-09 02:00:00,1750,1750,1750,310
2018-08-10 02:00:00,1719,1705,1705,424
2018-08-17 02:00:00,1750,1706,1750,4876
2018-08-29 02:00:00,1703,1700,1700,4717
2018-08-30 02:00:00,1700,1700,1700,8
2018-08-31 02:00:00,1690,1681,1690,1472
2018-09-03 02:00:00,1690,1661,1663,37
2018-09-05 02:00:00,1636,1636,1636,9
2018-09-06 02:00:00,1700,1605,1605,1830
2018-09-07 02:00:00,1601,1550,1550,2190
2018-09-10 02:00:00,1599,1599,1599,1
2018-09-12 02:00:00,1570,1570,1570,5303
2018-09-13 02:00:00,1570,1540,1546,2310
2018-09-14 02:00:00,1541,1533,1533,175
2018-09-17 02:00:00,1530,1502,1508,1324
2018-09-18 02:00:00,1509,1508,1508,27
2018-09-19 02:00:00,1501,1500,1500,31
2018-09-20 02:00:00,1505,1503,1503,31
2018-09-21 02:00:00,1540,1540,1540,1000
2018-09-25 02:00:00,1520,1520,1520,841
2018-09-26 02:00:00,1600,1510,1600,4382
2018-09-27 02:00:00,1634,1600,1634,8000
2018-09-28 02:00:00,1640,1630,1630,21071
2018-10-01 02:00:00,1600,1600,1600,100
2018-10-02 02:00:00,1600,1600,1600,6
2018-10-03 02:00:00,1589,1550,1580,1770
2018-10-04 02:00:00,1599,1599,1599,1
2018-10-05 02:00:00,1589,1515,1515,953
2018-10-11 02:00:00,1549,1508,1508,28
2018-10-12 02:00:00,1530,1520,1530,1388
2018-10-15 02:00:00,1520,1511,1511,495
2018-10-16 02:00:00,1525,1511,1511,2030
2018-10-17 02:00:00,1535,1506,1535,6540
2018-10-18 02:00:00,1579,1525,1579,3000
2018-10-19 02:00:00,1599,1549,1549,4861
2018-10-22 02:00:00,1549,1518,1549,123
2018-10-23 02:00:00,1594,1526,1594,736
2018-10-24 02:00:00,1570,1570,1570,300
2018-10-25 02:00:00,1570,1529,1550,373
2018-10-26 02:00:00,1598,1551,1598,1313
2018-10-29 01:00:00,1570,1570,1570,1000
2018-10-30 01:00:00,1570,1570,1570,706
2018-10-31 01:00:00,1600,1568,1570,1671
2018-11-02 01:00:00,1570,1533,1533,4153
2018-11-07 01:00:00,1535,1533,1533,1120
2018-11-08 01:00:00,1600,1588,1600,3396
2018-11-09 01:00:00,1620,1590,1620,721
2018-11-12 01:00:00,1550,1550,1550,50
2018-11-13 01:00:00,1619,1568,1600,7004
2018-11-14 01:00:00,1650,1600,1650,403
2018-11-15 01:00:00,1699,1649,1670,199
2018-11-16 01:00:00,1701,1670,1701,1557
2018-11-19 01:00:00,1750,1606,1750,705
2018-11-22 01:00:00,1750,1750,1750,5650
2018-11-23 01:00:00,1750,1747,1747,3100
2018-11-26 01:00:00,1746,1740,1740,550
2018-11-29 01:00:00,1699,1670,1699,307
2018-11-30 01:00:00,1699,1619,1699,1080
2018-12-03 01:00:00,1631,1631,1631,56
2018-12-04 01:00:00,1699,1581,1699,2229
2018-12-05 01:00:00,1699,1699,1699,600
2018-12-07 01:00:00,1728,1680,1719,4580
2018-12-11 01:00:00,1719,1701,1718,10997
2018-12-12 01:00:00,1719,1690,1690,57001
2018-12-14 01:00:00,1719,1621,1621,2814
2018-12-17 01:00:00,1690,1690,1690,1
2018-12-18 01:00:00,1695,1650,1650,110
2018-12-19 01:00:00,1688,1633,1642,16
2018-12-20 01:00:00,1690,1688,1690,22427
2018-12-21 01:00:00,1690,1638,1638,5209
2018-12-24 01:00:00,1690,1650,1690,783
2018-12-26 01:00:00,1680,1675,1680,2896
2018-12-27 01:00:00,1678,1670,1670,468
2018-12-28 01:00:00,1708,1650,1708,64534
2018-12-31 01:00:00,1789,1652,1789,55094
2019-01-02 01:00:00,1731,1680,1680,885
2019-01-03 01:00:00,1678,1630,1650,608
2019-01-04 01:00:00,1720,1633,1633,4353
2019-01-07 01:00:00,1633,1633,1633,100
2019-01-08 01:00:00,1637,1637,1637,81
2019-01-10 01:00:00,1660,1630,1660,1674
2019-01-14 01:00:00,1699,1631,1631,100
2019-01-15 01:00:00,1697,1660,1696,11
2019-01-16 01:00:00,1670,1634,1634,10
2019-01-18 01:00:00,1637,1630,1637,2024
2019-01-21 01:00:00,1630,1621,1621,34
2019-01-22 01:00:00,1637,1620,1637,11636
2019-01-24 01:00:00,1623,1620,1623,128
2019-01-25 01:00:00,1637,1615,1615,5880
2019-01-28 01:00:00,1649,1610,1610,934
2019-01-29 01:00:00,1656,1600,1620,4794
2019-01-31 01:00:00,1648,1620,1620,10802
2019-02-01 01:00:00,1621,1620,1621,4667
2019-02-04 01:00:00,1610,1610,1610,2500
2019-02-05 01:00:00,1649,1600,1600,1075
2019-02-06 01:00:00,1645,1600,1645,284
2019-02-07 01:00:00,1601,1600,1601,1425
2019-02-08 01:00:00,1600,1590,1590,977
2019-02-12 01:00:00,1610,1600,1609,295
2019-02-13 01:00:00,1591,1581,1581,260
2019-02-15 01:00:00,1590,1557,1557,3801
2019-02-18 01:00:00,1570,1551,1551,122
2019-02-19 01:00:00,1580,1560,1580,256
2019-02-20 01:00:00,1580,1550,1550,48
2019-02-21 01:00:00,1579,1510,1559,4216
2019-02-22 01:00:00,1550,1490,1490,4204
2019-02-25 01:00:00,1440,1440,1440,2
2019-02-26 01:00:00,1489,1470,1470,151
2019-02-27 01:00:00,1490,1488,1488,846
2019-02-28 01:00:00,1487,1434,1434,9953
2019-03-01 01:00:00,1435,1435,1435,8818
2019-03-04 01:00:00,1460,1430,1430,1700
2019-03-05 01:00:00,1460,1420,1420,180
2019-03-06 01:00:00,1495,1410,1495,636
2019-03-07 01:00:00,1430,1430,1430,1489
2019-03-08 01:00:00,1470,1430,1430,339
2019-03-14 01:00:00,1450,1422,1430,10
2019-03-15 01:00:00,1435,1435,1435,4032
2019-03-18 01:00:00,1425,1420,1425,382
2019-03-19 01:00:00,1490,1425,1490,230
2019-03-20 01:00:00,1497,1495,1497,22
2019-03-21 01:00:00,1587,1495,1587,373
2019-03-22 01:00:00,1598,1502,1502,4903
2019-03-25 01:00:00,1503,1464,1464,3
2019-03-26 01:00:00,1520,1520,1520,10
2019-03-27 01:00:00,1590,1495,1538,1226
2019-03-28 01:00:00,1582,1505,1505,579
2019-03-29 01:00:00,1505,1500,1500,2684
2019-04-01 02:00:00,1530,1482,1530,177
2019-04-03 02:00:00,1488,1484,1484,358
2019-04-04 02:00:00,1485,1485,1485,2200
2019-04-05 02:00:00,1520,1480,1480,2009
2019-04-08 02:00:00,1517,1484,1517,71
2019-04-09 02:00:00,1451,1450,1451,350
2019-04-10 02:00:00,1451,1450,1450,2160
2019-04-11 02:00:00,1456,1450,1456,2050
2019-04-12 02:00:00,1483,1450,1450,1609
2019-04-15 02:00:00,1450,1450,1450,1023
2019-04-17 02:00:00,1500,1480,1500,9085
2019-04-18 02:00:00,1503,1500,1503,1813
2019-04-19 02:00:00,1553,1487,1553,39
2019-04-22 02:00:00,1556,1550,1550,754
2019-04-23 02:00:00,1620,1556,1620,856
2019-04-24 02:00:00,1550,1550,1550,300
2019-04-25 02:00:00,1566,1561,1561,220
2019-04-26 02:00:00,1600,1553,1560,1250
2019-04-29 02:00:00,1560,1560,1560,1584
2019-04-30 02:00:00,1600,1560,1568,4479
2019-05-02 02:00:00,1620,1572,1605,84
2019-05-03 02:00:00,1600,1580,1580,368
2019-05-06 02:00:00,1582,1582,1582,55
2019-05-07 02:00:00,1600,1600,1600,280
2019-05-08 02:00:00,1645,1612,1645,480
2019-05-09 02:00:00,1658,1658,1658,220
2019-05-10 02:00:00,1596,1596,1596,350
2019-05-13 02:00:00,1600,1600,1600,2164
2019-05-14 02:00:00,1620,1600,1620,4178
2019-05-15 02:00:00,1650,1620,1650,3771
2019-05-16 02:00:00,1675,1640,1675,520
2019-05-17 02:00:00,1645,1601,1601,2201
2019-05-21 02:00:00,1630,1601,1630,223
2019-05-24 02:00:00,1597,1597,1597,81404
2019-05-27 02:00:00,1527,1522,1527,75200
2019-05-29 02:00:00,1526,1458,1490,854
2019-05-30 02:00:00,1522,1510,1522,1320
2019-05-31 02:00:00,1522,1520,1522,1233
