Timestamp,High,Low,Price,Volume
2018-06-04 02:00:00,1551,1551,1551,1
2018-06-08 02:00:00,1639,1639,1639,3
2018-06-11 02:00:00,1541,1541,1541,5
2018-06-12 02:00:00,1452,1452,1452,95
2018-06-14 02:00:00,1400,1400,1400,4473
2018-06-28 02:00:00,1349,1349,1349,89
2018-06-29 02:00:00,1330,1330,1330,7
2018-07-09 02:00:00,1330,1330,1330,38
2018-07-23 02:00:00,1260,1260,1260,38
2018-08-01 02:00:00,1260,1260,1260,15
2018-08-08 02:00:00,1201,1201,1201,49
2018-08-09 02:00:00,1250,1250,1250,10
2018-08-10 02:00:00,1300,1300,1300,2
2018-08-28 02:00:00,1250,1250,1250,198
2018-08-31 02:00:00,1300,1300,1300,1
2018-09-03 02:00:00,1300,1300,1300,2736
2018-09-04 02:00:00,1300,1300,1300,267
2018-09-10 02:00:00,1224,1224,1224,19
2018-09-21 02:00:00,1200,1200,1200,39
2018-09-26 02:00:00,1203,1203,1203,10
2018-10-02 02:00:00,1211,1211,1211,29
2018-10-05 02:00:00,1205,1205,1205,13
2018-11-05 01:00:00,1277,1277,1277,1
2018-11-07 01:00:00,1353,1353,1353,2
2018-11-08 01:00:00,1360,1360,1360,9
2018-11-09 01:00:00,1360,1360,1360,88
2018-11-16 01:00:00,1440,1440,1440,2
2018-11-23 01:00:00,1440,1440,1440,14
2018-12-03 01:00:00,1362,1362,1362,3
2018-12-07 01:00:00,1443,1443,1443,54
2018-12-11 01:00:00,1430,1430,1430,13
2018-12-19 01:00:00,1431,1431,1431,1
2019-01-02 01:00:00,1450,1450,1450,1
2019-01-18 01:00:00,1453,1453,1453,114
2019-01-28 01:00:00,1540,1540,1540,5
2019-01-31 01:00:00,1449,1449,1449,1
2019-03-01 01:00:00,1535,1535,1535,2
2019-04-12 02:00:00,1450,1450,1450,1
2019-06-11 02:00:00,1500,1500,1500,4802
2019-06-12 02:00:00,1500,1500,1500,1
2019-06-19 02:00:00,1502,1502,1502,117600
2019-06-26 02:00:00,1412,1412,1412,2
2019-06-27 02:00:00,1412,1412,1412,1
2019-07-01 02:00:00,1435,1435,1435,31
2019-08-15 02:00:00,1435,1435,1435,1
2019-08-16 02:00:00,1435,1435,1435,1
2019-08-23 02:00:00,1435,1435,1435,1
2019-08-27 02:00:00,1390,1390,1390,15
2019-09-27 02:00:00,1350,1350,1350,599
2019-10-03 02:00:00,1320,1320,1320,1
2019-10-23 02:00:00,1399,1399,1399,1
2019-11-01 01:00:00,1481,1481,1481,5
2019-11-13 01:00:00,1481,1481,1481,5000
2020-01-23 01:00:00,1480,1480,1480,5
2020-01-24 01:00:00,1480,1480,1480,2
2020-02-20 01:00:00,1392,1392,1392,1
2020-02-24 01:00:00,1310,1310,1310,50
2020-02-25 01:00:00,1301,1301,1301,3
2020-02-26 01:00:00,1379,1379,1379,5
2020-03-04 01:00:00,1460,1460,1460,1
2020-03-12 01:00:00,1445,1445,1445,1
2020-03-13 01:00:00,1360,1360,1360,4
2020-03-19 01:00:00,1335,1335,1335,2
2020-03-20 01:00:00,1309,1309,1309,2
2020-03-24 01:00:00,1309,1309,1309,1
2020-04-15 02:00:00,1334,1334,1334,3
2020-04-27 02:00:00,1334,1334,1334,1
2020-04-29 02:00:00,1334,1334,1334,10
2020-05-28 02:00:00,1308,1308,1308,1
2020-06-01 02:00:00,1308,1308,1308,6
2020-06-04 02:00:00,1283,1283,1283,1
2020-06-05 02:00:00,1283,1283,1283,5
2020-06-09 02:00:00,1259,1259,1259,5
2020-06-17 02:00:00,1251,1251,1251,1
2020-06-23 02:00:00,1276,1276,1276,1
2020-07-03 02:00:00,1300,1300,1300,5
2020-07-28 02:00:00,1276,1276,1276,1
2020-10-01 02:00:00,1297,1297,1297,10
2020-12-16 01:00:00,1290,1290,1290,8
2020-12-17 01:00:00,1266,1266,1266,1
2020-12-18 01:00:00,1242,1242,1242,1
