Timestamp,High,Low,Price,Volume
2018-05-25 02:00:00,277.85,277.0,277.85,249
2018-05-29 02:00:00,284.95,284.95,284.95,1
2018-06-01 02:00:00,289.95,289.95,289.95,200
2018-06-07 02:00:00,289.75,263.1,289.75,104
2018-06-08 02:00:00,285.0,285.0,285.0,100
2018-06-14 02:00:00,285.0,271.3,285.0,138
2018-06-19 02:00:00,293.5,293.5,293.5,1
2018-06-20 02:00:00,293.5,293.5,293.5,10932
2018-06-25 02:00:00,294.7,294.5,294.7,29
2018-07-06 02:00:00,290.0,290.0,290.0,40
2018-07-11 02:00:00,291.95,270.0,280.0,239
2018-07-13 02:00:00,271.0,271.0,271.0,9
2018-07-16 02:00:00,271.5,265.0,265.0,157
2018-07-17 02:00:00,287.95,282.0,282.0,101
2018-07-20 02:00:00,285.0,275.5,285.0,27
2018-07-24 02:00:00,285.0,285.0,285.0,95
2018-07-26 02:00:00,275.0,275.0,275.0,16
2018-08-08 02:00:00,268.5,268.5,268.5,1
2018-08-09 02:00:00,268.5,261.5,261.5,102
2018-08-10 02:00:00,270.0,261.5,270.0,389
2018-08-13 02:00:00,256.05,256.05,256.05,42
2018-08-17 02:00:00,265.0,265.0,265.0,25
2018-08-24 02:00:00,285.0,285.0,285.0,200
2018-08-27 02:00:00,270.0,270.0,270.0,166
2018-08-29 02:00:00,270.0,270.0,270.0,25
2018-09-04 02:00:00,275.0,275.0,275.0,2
2018-09-06 02:00:00,268.0,268.0,268.0,50
2018-09-07 02:00:00,252.1,252.1,252.1,227
2018-09-10 02:00:00,260.0,260.0,260.0,4
2018-09-13 02:00:00,259.0,252.0,255.0,755
2018-09-14 02:00:00,255.0,250.0,251.0,1766
2018-09-17 02:00:00,255.0,255.0,255.0,32
2018-09-20 02:00:00,259.95,252.0,259.95,44
2018-09-21 02:00:00,259.95,252.05,259.95,21
2018-09-24 02:00:00,259.9,259.9,259.9,2
2018-09-26 02:00:00,259.8,259.8,259.8,5
2018-09-28 02:00:00,259.8,255.0,255.0,9
2018-10-01 02:00:00,255.0,252.0,252.0,45
2018-10-05 02:00:00,259.8,255.0,259.8,385
2018-10-08 02:00:00,255.0,255.0,255.0,3
2018-10-09 02:00:00,255.0,255.0,255.0,39
2018-10-12 02:00:00,255.0,255.0,255.0,44
2018-10-15 02:00:00,259.0,259.0,259.0,2
2018-10-24 02:00:00,258.9,258.9,258.9,3
2018-10-25 02:00:00,255.0,255.0,255.0,14
2018-10-29 01:00:00,250.0,250.0,250.0,30
2018-10-31 01:00:00,258.0,258.0,258.0,4
2018-11-01 01:00:00,253.0,245.05,253.0,52
2018-11-02 01:00:00,253.0,243.05,253.0,128
2018-11-13 01:00:00,253.0,253.0,253.0,52
2018-11-14 01:00:00,250.1,250.0,250.0,107
2018-11-28 01:00:00,256.95,256.9,256.95,15
2018-11-30 01:00:00,250.0,250.0,250.0,143
2018-12-04 01:00:00,251.0,251.0,251.0,20
2018-12-07 01:00:00,258.0,250.0,258.0,243
2018-12-12 01:00:00,265.0,265.0,265.0,14
2018-12-13 01:00:00,252.0,252.0,252.0,15
2018-12-19 01:00:00,252.9,252.9,252.9,2
2018-12-20 01:00:00,250.0,250.0,250.0,42
2018-12-25 01:00:00,255.0,255.0,255.0,4
2018-12-27 01:00:00,252.0,250.0,250.0,19950
2018-12-28 01:00:00,257.0,257.0,257.0,4
2019-01-02 01:00:00,263.3,263.3,263.3,2
2019-01-04 01:00:00,267.45,264.0,267.45,100
2019-01-07 01:00:00,273.0,272.3,273.0,36
2019-01-08 01:00:00,298.0,277.0,298.0,78
2019-01-15 01:00:00,296.0,269.5,270.0,109
2019-01-18 01:00:00,255.05,255.05,255.05,164
2019-01-21 01:00:00,279.0,279.0,279.0,2
2019-01-22 01:00:00,279.0,279.0,270.0,206
2019-01-23 01:00:00,290.0,274.0,274.0,78
2019-01-24 01:00:00,279.95,279.5,279.5,73
2019-01-25 01:00:00,293.95,293.95,293.95,2
2019-01-28 01:00:00,293.95,293.95,293.95,15
2019-01-29 01:00:00,281.9,281.9,281.9,41
2019-02-01 01:00:00,280.0,275.0,275.0,1424
2019-02-07 01:00:00,275.0,275.0,275.0,1509
2019-02-12 01:00:00,278.6,278.6,278.6,215
2019-02-14 01:00:00,278.6,278.6,278.6,30
2019-02-22 01:00:00,279.5,279.5,279.5,316
2019-02-25 01:00:00,286.6,278.6,278.6,755
2019-02-27 01:00:00,279.5,275.35,275.35,100
2019-03-01 01:00:00,280.0,277.05,277.05,1051
2019-03-04 01:00:00,280.0,277.25,277.25,71
2019-03-06 01:00:00,286.5,281.95,286.5,18
2019-03-07 01:00:00,289.95,275.0,275.0,66
2019-03-08 01:00:00,283.0,283.0,283.0,119
2019-03-12 01:00:00,286.0,285.0,285.0,136
2019-03-13 01:00:00,285.0,285.0,285.0,188
2019-03-20 01:00:00,260.0,260.0,260.0,1
2019-03-22 01:00:00,285.0,280.0,285.0,56
2019-03-25 01:00:00,305.0,285.0,305.0,163
2019-03-26 01:00:00,305.0,304.0,304.0,8
2019-03-27 01:00:00,294.4,280.05,294.4,101
2019-04-01 02:00:00,285.6,285.6,285.6,12
2019-04-05 02:00:00,285.6,268.6,268.6,45
2019-04-11 02:00:00,264.0,264.0,264.0,84
2019-04-12 02:00:00,265.0,265.0,265.0,201
2019-04-17 02:00:00,275.05,275.05,275.05,5
2019-04-18 02:00:00,272.5,265.05,272.5,109
2019-04-23 02:00:00,279.95,279.0,279.95,14
2019-04-25 02:00:00,279.95,268.0,279.95,55
2019-04-26 02:00:00,272.2,272.2,272.2,6
2019-04-29 02:00:00,272.0,272.0,272.0,100
2019-04-30 02:00:00,279.95,279.0,279.95,10
2019-05-06 02:00:00,276.25,276.25,276.25,113
2019-05-10 02:00:00,280.5,280.5,280.5,50
2019-05-16 02:00:00,270.05,270.05,270.05,10
2019-05-17 02:00:00,272.0,272.0,272.0,20
2019-05-20 02:00:00,287.0,287.0,287.0,28
2019-05-22 02:00:00,271.5,271.5,271.5,142
2019-05-28 02:00:00,270.0,270.0,270.0,67
2019-06-12 02:00:00,285.45,285.45,285.45,4
2019-06-14 02:00:00,296.95,296.95,296.95,250
2019-06-19 02:00:00,293.9,293.9,293.9,2
2019-06-28 02:00:00,273.2,270.0,271.25,332
2019-07-01 02:00:00,252.0,252.0,252.0,100
2019-07-02 02:00:00,262.5,255.3,262.5,52
2019-07-03 02:00:00,274.5,269.0,274.5,12
2019-07-09 02:00:00,273.65,260.25,261.0,2370
2019-07-10 02:00:00,260.0,260.0,260.0,120
2019-07-15 02:00:00,259.0,255.0,255.0,100
2019-07-16 02:00:00,252.0,250.0,250.0,223
2019-07-18 02:00:00,265.0,265.0,265.0,100
2019-07-19 02:00:00,265.0,265.0,265.0,103
2019-07-22 02:00:00,265.0,265.0,265.0,5
2019-07-24 02:00:00,253.05,250.0,250.0,3730
2019-07-25 02:00:00,255.0,248.0,250.0,473
2019-07-26 02:00:00,253.0,250.0,250.0,181
2019-07-29 02:00:00,250.0,250.0,250.0,10
2019-07-31 02:00:00,250.0,247.0,247.0,211
2019-08-01 02:00:00,248.0,247.0,247.0,66
2019-08-07 02:00:00,245.0,240.0,240.0,613
2019-08-08 02:00:00,240.0,235.0,238.0,465
2019-08-16 02:00:00,240.0,235.0,235.0,360
2019-08-19 02:00:00,232.2,221.0,223.1,2657
2019-08-22 02:00:00,226.0,226.0,226.0,34
2019-08-23 02:00:00,239.3,232.6,239.3,2
2019-08-26 02:00:00,239.0,238.8,239.0,150
2019-08-27 02:00:00,246.5,239.0,246.5,152
2019-08-28 02:00:00,239.0,230.0,230.0,232
2019-08-29 02:00:00,239.45,226.0,238.7,322
2019-08-30 02:00:00,230.0,230.0,230.0,82
2019-09-04 02:00:00,239.0,235.0,239.0,176
2019-09-09 02:00:00,242.0,239.0,242.0,60
2019-09-10 02:00:00,235.0,235.0,235.0,1
2019-09-11 02:00:00,246.5,240.0,240.0,16
2019-09-18 02:00:00,228.0,216.1,228.0,1355
2019-09-19 02:00:00,225.0,225.0,225.0,12
2019-09-20 02:00:00,228.9,216.05,228.9,357
2019-09-25 02:00:00,224.95,224.95,224.95,6
2019-09-27 02:00:00,240.0,223.95,240.0,144
2019-10-02 02:00:00,239.0,239.0,239.0,2
2019-10-04 02:00:00,237.95,225.0,225.0,10653
2019-10-10 02:00:00,236.35,211.0,211.0,11
2019-10-14 02:00:00,223.6,223.6,223.6,1
2019-10-15 02:00:00,223.6,223.6,223.6,1
2019-10-16 02:00:00,228.0,227.0,228.0,20
2019-10-28 01:00:00,228.0,227.95,228.0,15
2019-10-30 01:00:00,228.0,228.0,228.0,60
2019-11-04 01:00:00,229.0,229.0,229.0,10
2019-11-05 01:00:00,227.0,227.0,227.0,20
2019-11-07 01:00:00,236.0,228.0,230.0,7756
2019-11-08 01:00:00,226.1,226.1,226.1,62
2019-11-12 01:00:00,230.0,210.05,230.0,52
2019-11-14 01:00:00,228.5,228.5,228.5,9
2019-11-19 01:00:00,229.8,229.8,229.8,12
2019-11-21 01:00:00,242.0,230.0,242.0,591
2019-11-22 01:00:00,245.0,244.0,245.0,298
2019-11-25 01:00:00,249.2,249.2,249.2,1
2019-11-27 01:00:00,245.8,235.0,245.8,172
2019-12-05 01:00:00,235.0,228.0,235.0,330
2019-12-06 01:00:00,239.9,230.0,239.9,149
2019-12-09 01:00:00,232.0,232.0,232.0,70
2019-12-10 01:00:00,228.3,228.3,228.3,42
2019-12-11 01:00:00,230.0,230.0,230.0,5
2019-12-12 01:00:00,230.0,230.0,230.0,10
2019-12-13 01:00:00,239.5,235.85,239.0,764
2019-12-17 01:00:00,248.9,230.1,248.9,9
2019-12-18 01:00:00,245.0,244.8,245.0,172
2019-12-19 01:00:00,238.0,235.0,235.0,199
2019-12-20 01:00:00,241.0,235.1,240.0,1410
2019-12-23 01:00:00,239.0,239.0,239.0,800
2019-12-24 01:00:00,235.25,226.55,228.2,2229
2019-12-25 01:00:00,225.2,225.0,225.0,1955
2019-12-26 01:00:00,235.0,214.0,226.4,1226
2019-12-27 01:00:00,220.0,208.0,210.0,4208
2019-12-30 01:00:00,217.45,216.0,217.0,8
2019-12-31 01:00:00,215.0,215.0,215.0,60
2020-01-02 01:00:00,215.0,215.0,215.0,140
2020-01-03 01:00:00,217.8,217.0,217.8,910
2020-01-06 01:00:00,217.9,217.9,217.9,60
2020-01-09 01:00:00,219.9,211.65,215.0,102
2020-01-10 01:00:00,216.05,216.05,216.05,41
2020-01-13 01:00:00,215.0,210.0,215.0,95
2020-01-14 01:00:00,224.55,224.55,224.55,1
2020-01-16 01:00:00,220.9,210.2,220.9,1952
2020-01-17 01:00:00,219.0,219.0,219.0,17
2020-01-22 01:00:00,215.0,210.0,210.0,1528
2020-01-23 01:00:00,215.5,212.0,212.0,216
2020-01-24 01:00:00,215.0,208.0,208.0,2000
2020-01-28 01:00:00,214.1,213.0,213.0,55
2020-01-29 01:00:00,213.0,213.0,213.0,126
2020-01-30 01:00:00,215.5,215.0,215.5,105
2020-02-04 01:00:00,211.1,211.1,211.1,10
2020-02-06 01:00:00,211.6,211.25,211.25,23
2020-02-07 01:00:00,211.3,211.25,211.25,18
2020-02-10 01:00:00,215.0,210.0,215.0,1793
2020-02-11 01:00:00,208.0,208.0,208.0,42
2020-02-14 01:00:00,211.5,208.0,208.0,522
2020-02-20 01:00:00,208.1,208.0,208.0,42
2020-02-21 01:00:00,214.1,214.1,214.1,1
2020-02-26 01:00:00,212.1,212.1,212.1,3
2020-02-28 01:00:00,213.1,207.0,208.1,1037
2020-03-02 01:00:00,207.0,204.15,204.15,276
2020-03-03 01:00:00,204.15,204.15,204.15,198
2020-03-05 01:00:00,205.0,205.0,205.0,250
2020-03-06 01:00:00,205.0,205.0,205.0,75
2020-03-09 01:00:00,205.0,190.0,190.0,202
2020-03-10 01:00:00,199.0,199.0,199.0,10
2020-03-12 01:00:00,182.0,182.0,182.0,61
2020-03-13 01:00:00,182.1,180.0,182.1,422
2020-03-16 01:00:00,175.0,175.0,175.0,20
2020-03-18 01:00:00,173.0,173.0,173.0,100
2020-03-19 01:00:00,166.1,166.1,166.1,25
2020-03-20 01:00:00,172.0,159.65,172.0,184
2020-03-25 01:00:00,178.85,168.0,168.0,8
2020-03-26 01:00:00,168.0,164.0,164.0,121
2020-03-27 01:00:00,165.15,162.0,165.15,254
2020-04-01 02:00:00,170.75,170.75,170.75,2
2020-04-03 02:00:00,169.95,169.95,169.95,100
2020-04-06 02:00:00,163.25,163.25,163.25,18
2020-04-08 02:00:00,156.75,156.75,156.75,27
2020-04-09 02:00:00,150.5,150.5,150.5,214
2020-04-10 02:00:00,150.5,150.5,150.5,59
2020-04-13 02:00:00,153.4,153.35,153.35,13
2020-04-14 02:00:00,151.0,150.0,150.0,52
2020-04-16 02:00:00,155.9,153.4,155.9,259
2020-04-17 02:00:00,155.9,155.9,155.9,7
2020-04-22 02:00:00,149.75,149.75,149.75,59
2020-04-23 02:00:00,154.9,154.9,154.9,1
2020-04-24 02:00:00,154.5,154.5,154.5,10
2020-04-27 02:00:00,151.0,151.0,151.0,1
2020-04-28 02:00:00,147.0,145.0,147.0,1241
2020-04-30 02:00:00,152.0,150.0,152.0,114
2020-05-04 02:00:00,152.0,152.0,152.0,88
2020-05-05 02:00:00,152.0,145.95,145.95,1166
2020-05-06 02:00:00,145.0,140.15,140.15,274
2020-05-07 02:00:00,145.75,145.75,145.75,12
2020-05-08 02:00:00,150.5,143.2,150.5,29
2020-05-11 02:00:00,156.5,152.5,156.45,399
2020-05-12 02:00:00,160.0,150.2,156.45,69150
2020-05-13 02:00:00,162.0,155.0,155.0,170
2020-05-14 02:00:00,161.15,161.15,161.15,1
2020-05-15 02:00:00,166.5,161.9,166.5,19
2020-05-18 02:00:00,173.15,167.95,173.15,224
2020-05-19 02:00:00,179.0,173.15,179.0,291
2020-05-20 02:00:00,181.0,173.0,174.0,76
2020-05-22 02:00:00,180.95,180.95,180.95,7
2020-05-26 02:00:00,188.15,187.9,188.15,96
2020-05-28 02:00:00,191.9,191.9,191.9,10
2020-07-20 02:00:00,166.0,154.0,166.0,337
