Timestamp,High,Low,Price,Volume
2018-06-04 02:00:00,2967,2967,2967,2
2018-06-05 02:00:00,2800,2800,2800,511
2018-06-06 02:00:00,2800,2800,2800,881
2018-06-07 02:00:00,2800,2800,2800,280
2018-06-08 02:00:00,2945,2945,2945,1
2018-06-12 02:00:00,2945,2945,2945,1
2018-06-18 02:00:00,3060,3060,3060,10
2018-06-22 02:00:00,2877,2877,2877,2613
2018-06-26 02:00:00,3000,3000,3000,35
2018-06-27 02:00:00,2999,2999,2999,2388
2018-06-28 02:00:00,3060,3060,3060,10
2018-06-29 02:00:00,2877,2877,2877,1556
2018-07-03 02:00:00,2710,2710,2710,570
2018-07-06 02:00:00,2710,2710,2710,1886
2018-07-11 02:00:00,2710,2710,2710,1500
2018-07-12 02:00:00,2710,2710,2710,860
2018-07-13 02:00:00,2791,2791,2791,350
2018-07-20 02:00:00,2874,2800,2800,551
2018-07-24 02:00:00,2717,2710,2710,6000
2018-07-25 02:00:00,2703,2690,2690,18250
2018-07-26 02:00:00,2690,2690,2690,5100
2018-07-27 02:00:00,2800,2800,2800,125
2018-07-31 02:00:00,2900,2900,2900,4
2018-08-08 02:00:00,2900,2900,2900,3
2018-08-09 02:00:00,2900,2900,2900,8
2018-08-10 02:00:00,2900,2800,2800,19
2018-08-17 02:00:00,3000,2750,3000,3508
2018-08-31 02:00:00,2911,2830,2830,900
2018-09-04 02:00:00,3000,2800,2800,3353
2018-09-13 02:00:00,2800,2800,2800,2985
2018-09-14 02:00:00,2750,2750,2750,600
2018-09-19 02:00:00,2800,2800,2800,38
2018-09-20 02:00:00,2770,2750,2770,2391
2018-09-21 02:00:00,2800,2800,2800,10
2018-09-26 02:00:00,2780,2780,2780,26
2018-09-28 02:00:00,2900,2779,2900,1500
2018-10-01 02:00:00,2900,2900,2900,2
2018-10-02 02:00:00,2899,2899,2899,2
2018-10-05 02:00:00,2890,2890,2890,87
2018-10-12 02:00:00,2888,2874,2874,222
2018-10-19 02:00:00,2600,2600,2600,278
2018-10-23 02:00:00,2601,2600,2600,9565
2018-10-24 02:00:00,2600,2600,2600,1124
2018-10-25 02:00:00,2600,2600,2600,3010
2018-10-26 02:00:00,2600,2600,2600,400
2018-10-30 01:00:00,2600,2600,2600,3378
2018-10-31 01:00:00,2599,2599,2599,3
2018-11-02 01:00:00,2590,2590,2590,56
2018-11-09 01:00:00,2580,2580,2580,400
2018-11-12 01:00:00,2580,2323,2580,12
2018-11-15 01:00:00,2550,2550,2550,437
2018-11-16 01:00:00,2600,2510,2550,1205
2018-11-22 01:00:00,2800,2800,2800,10
2018-11-29 01:00:00,2799,2799,2799,60
2018-12-05 01:00:00,2575,2575,2575,2065
2018-12-07 01:00:00,2575,2500,2500,210
2018-12-13 01:00:00,2500,2450,2500,3133
2018-12-18 01:00:00,2500,2500,2500,2821
2018-12-20 01:00:00,2500,2400,2500,5792
2018-12-24 01:00:00,2430,2430,2430,318
2018-12-25 01:00:00,2500,2499,2500,314242
2018-12-28 01:00:00,2500,2300,2500,31
2018-12-31 01:00:00,2650,2650,2650,11250
2019-01-04 01:00:00,2518,2518,2518,51
2019-01-14 01:00:00,2500,2444,2500,3864
2019-01-18 01:00:00,2500,2500,2500,100
2019-01-21 01:00:00,2500,2500,2500,1400
2019-01-23 01:00:00,2499,2440,2440,601
2019-01-24 01:00:00,2400,2400,2400,48
2019-01-25 01:00:00,2400,2400,2400,375
2019-01-31 01:00:00,2400,2390,2390,955
2019-02-01 01:00:00,2377,2375,2375,7487
2019-02-05 01:00:00,2375,2375,2375,236
2019-02-06 01:00:00,2375,2375,2375,191
2019-02-08 01:00:00,2500,2306,2500,2600
2019-02-14 01:00:00,2380,2380,2380,20
2019-02-15 01:00:00,2325,2325,2325,2073
2019-02-19 01:00:00,2350,2350,2350,3338
2019-02-26 01:00:00,2375,2375,2375,2000
2019-02-27 01:00:00,2375,2375,2375,582
2019-03-01 01:00:00,2400,2400,2400,2387
2019-03-05 01:00:00,2500,2500,2500,30
2019-03-08 01:00:00,2600,2400,2600,1500
2019-03-15 01:00:00,2500,2500,2500,2
2019-03-19 01:00:00,2500,2500,2500,980
2019-03-22 01:00:00,2500,2370,2370,307
2019-03-27 01:00:00,2370,2370,2370,600
2019-03-28 01:00:00,2370,2370,2370,1132
2019-03-29 01:00:00,2370,2370,2370,157
2019-04-01 02:00:00,2375,2371,2371,280
2019-04-05 02:00:00,2372,2372,2372,343
2019-04-12 02:00:00,2400,2400,2400,23
2019-04-15 02:00:00,2400,2400,2400,22
2019-04-16 02:00:00,2450,2450,2450,3834
2019-04-19 02:00:00,2590,2590,2590,200
2019-04-23 02:00:00,2500,2500,2500,1
2019-04-24 02:00:00,2500,2500,2500,1171
2019-05-03 02:00:00,2550,2550,2550,2000
2019-05-16 02:00:00,2600,2590,2600,10
2019-05-17 02:00:00,2600,2600,2600,250
