Timestamp,High,Low,Price,Volume
2018-05-16 01:00:00,43.8,41.52,43.8,211
2018-05-17 01:00:00,43.3,39.43,43.3,173
2018-05-21 01:00:00,43.0,40.0,40.0,30
2018-05-22 01:00:00,42.89,42.8,42.8,7
2018-05-25 01:00:00,42.35,40.0,42.35,42
2018-05-28 01:00:00,40.0,40.0,40.0,222
2018-05-29 01:00:00,38.9,38.72,38.72,127
2018-05-31 01:00:00,37.0,34.85,34.85,2452
2018-06-01 01:00:00,31.37,31.37,31.37,268
2018-06-04 01:00:00,33.99,33.99,33.99,300
2018-06-05 01:00:00,30.6,30.6,30.6,84
2018-06-06 01:00:00,29.8,27.55,27.55,4366
2018-06-07 01:00:00,28.0,27.0,27.0,1087
2018-06-08 01:00:00,29.69,29.44,29.67,1291
2018-06-11 01:00:00,32.0,29.67,31.99,1333
2018-06-12 01:00:00,34.5,31.99,34.5,1701
2018-06-13 01:00:00,36.0,34.0,34.5,639
2018-06-20 01:00:00,31.1,31.1,31.1,157
2018-06-21 01:00:00,33.98,33.98,33.98,2
2018-06-22 01:00:00,35.78,32.2,32.2,61
2018-06-25 01:00:00,33.99,28.99,30.95,123
2018-06-26 01:00:00,28.5,27.97,27.97,2784
2018-06-28 01:00:00,27.97,27.97,27.97,39
2018-06-29 01:00:00,27.97,27.97,27.97,61
2018-07-02 01:00:00,27.97,27.7,27.7,10
2018-07-03 01:00:00,27.75,27.75,27.75,100
2018-07-04 01:00:00,28.99,28.99,28.99,30
2018-07-05 01:00:00,27.5,27.5,27.5,17
2018-07-06 01:00:00,28.0,28.0,28.0,10
2018-07-09 01:00:00,28.9,28.0,28.9,102
2018-07-11 01:00:00,27.51,27.51,27.51,16
2018-07-12 01:00:00,28.59,25.0,28.59,640
2018-07-13 01:00:00,29.0,28.54,28.99,2251
2018-07-16 01:00:00,30.0,28.5,28.5,324
2018-07-17 01:00:00,29.99,25.9,29.5,1475
2018-07-25 01:00:00,26.56,26.56,26.56,300
2018-07-26 01:00:00,28.99,27.0,28.99,4
2018-07-27 01:00:00,28.95,28.95,28.95,50
2018-08-01 01:00:00,26.71,26.7,26.7,91
2018-08-02 01:00:00,28.9,26.75,28.9,302
2018-08-03 01:00:00,26.75,26.74,26.74,205
2018-08-06 01:00:00,28.46,26.56,26.56,77
2018-08-07 01:00:00,28.43,28.42,28.42,19
2018-08-08 01:00:00,28.39,26.57,28.39,101
2018-08-10 01:00:00,26.67,26.56,26.67,8
2018-08-13 01:00:00,27.99,27.99,27.99,2
2018-08-15 01:00:00,28.0,28.0,28.0,2
2018-08-17 01:00:00,26.7,26.7,26.7,60
2018-08-24 01:00:00,26.8,26.7,26.7,20
2018-08-27 01:00:00,28.54,28.54,28.54,10
2018-08-28 01:00:00,28.48,26.6,27.2,1714
2018-08-30 01:00:00,27.87,26.7,26.7,1027
2018-08-31 01:00:00,26.6,26.6,26.6,20
2018-09-03 01:00:00,27.0,26.0,27.0,29
2018-09-04 01:00:00,26.0,26.0,26.0,3
2018-09-05 01:00:00,27.0,25.01,25.15,75
2018-09-06 01:00:00,26.45,25.0,25.01,522
2018-09-07 01:00:00,25.0,24.0,24.0,146
2018-09-10 01:00:00,26.35,26.35,26.35,1
2018-09-12 01:00:00,26.5,26.5,26.5,450
2018-09-18 01:00:00,26.0,25.95,26.0,431
2018-09-24 01:00:00,26.44,23.5,26.44,245
2018-09-26 01:00:00,25.65,25.65,25.65,12600
2018-09-27 01:00:00,26.26,26.26,26.26,1
2018-10-01 01:00:00,25.0,25.0,25.0,150
2018-10-02 01:00:00,25.38,25.38,25.38,52
2018-10-03 01:00:00,24.0,23.01,23.5,731
2018-10-04 01:00:00,25.0,25.0,25.0,1
2018-10-05 01:00:00,25.45,25.38,25.45,500
2018-10-08 01:00:00,25.46,25.46,25.46,3
2018-10-10 01:00:00,24.11,24.1,24.1,27
2018-10-11 01:00:00,26.5,26.0,26.0,205
2018-10-12 01:00:00,28.0,28.0,28.0,1
2018-10-17 01:00:00,27.5,27.5,27.5,11
2018-10-18 01:00:00,25.0,25.0,25.0,100
2018-10-19 01:00:00,27.28,27.28,27.28,1
2018-10-22 01:00:00,26.95,26.95,26.95,11
2018-10-23 01:00:00,26.95,24.27,26.95,22
2018-10-25 01:00:00,24.28,24.28,24.28,20
2018-10-26 01:00:00,26.7,26.7,26.7,1
2018-10-29 01:00:00,26.95,26.95,26.95,4
2018-10-31 01:00:00,26.94,24.26,26.94,19
2018-11-08 01:00:00,24.62,24.4,24.62,35
2018-11-09 01:00:00,27.0,24.51,24.51,1406
2018-11-12 01:00:00,26.95,26.95,26.95,1
2018-11-13 01:00:00,27.0,26.85,27.0,470
2018-11-15 01:00:00,25.01,25.01,25.01,50
2018-11-16 01:00:00,26.95,25.07,25.07,12
2018-11-19 01:00:00,26.98,26.98,26.98,1
2018-11-29 01:00:00,26.75,26.75,26.75,1
2018-11-30 01:00:00,24.5,24.5,24.5,9
2018-12-03 01:00:00,26.75,26.75,26.75,1
2018-12-05 01:00:00,26.65,24.11,26.65,2
2018-12-11 01:00:00,26.63,24.17,24.2,255
2018-12-12 01:00:00,26.6,26.6,26.6,2
2018-12-14 01:00:00,24.3,24.3,24.3,10
2018-12-17 01:00:00,26.45,26.44,26.44,107
2018-12-18 01:00:00,26.4,25.0,25.0,34
2018-12-19 01:00:00,26.5,26.5,26.5,2
2018-12-21 01:00:00,26.4,24.5,24.5,32
2018-12-25 01:00:00,26.4,25.0,25.0,101
2018-12-26 01:00:00,26.4,25.0,25.0,72
2018-12-27 01:00:00,26.0,24.9,26.0,76
2018-12-28 01:00:00,26.0,24.5,24.5,87
2018-12-31 01:00:00,26.0,24.51,24.51,271
2019-01-02 01:00:00,26.65,24.7,26.65,605
2019-01-08 01:00:00,26.6,26.6,26.6,3
2019-01-09 01:00:00,25.0,25.0,25.0,32
2019-01-10 01:00:00,25.0,25.0,25.0,218
2019-01-14 01:00:00,26.5,25.0,26.5,6
2019-01-15 01:00:00,24.0,24.0,24.0,2
2019-01-17 01:00:00,26.0,26.0,26.0,2
2019-01-21 01:00:00,25.01,24.2,24.21,241
2019-01-28 01:00:00,25.0,25.0,25.0,40
2019-01-29 01:00:00,25.8,25.8,25.8,1
2019-01-30 01:00:00,23.77,23.77,23.77,103
2019-02-01 01:00:00,25.75,25.75,25.75,1
2019-02-07 01:00:00,25.74,25.7,25.74,211
2019-02-11 01:00:00,25.0,25.0,25.0,23
2019-02-15 01:00:00,24.26,23.55,23.55,311
2019-02-18 01:00:00,25.0,25.0,25.0,2
2019-02-20 01:00:00,25.0,23.55,25.0,91
2019-02-21 01:00:00,24.95,23.63,24.95,42
2019-02-22 01:00:00,23.56,23.55,23.55,136
2019-02-26 01:00:00,24.99,24.99,24.99,113
2019-02-27 01:00:00,23.56,23.56,23.56,20
2019-02-28 01:00:00,24.98,24.98,24.98,2
2019-03-01 01:00:00,23.55,23.55,23.55,2
2019-03-04 01:00:00,24.79,24.79,24.79,2
2019-03-05 01:00:00,24.8,23.6,24.8,53
2019-03-06 01:00:00,24.99,24.6,24.99,82
2019-03-07 01:00:00,23.55,23.55,23.55,116
2019-03-08 01:00:00,24.97,24.97,24.97,2
2019-03-11 01:00:00,24.0,23.62,24.0,19
2019-03-12 01:00:00,22.0,22.0,22.0,50
2019-03-13 01:00:00,24.1,24.1,24.1,2
2019-03-14 01:00:00,24.0,24.0,24.0,2
2019-03-20 01:00:00,21.61,21.61,21.61,39
2019-03-21 01:00:00,23.75,20.01,20.01,606
2019-03-22 01:00:00,20.05,20.01,20.01,835
2019-03-27 00:00:00,22.0,22.0,22.0,1
2019-03-28 00:00:00,23.29,23.0,23.29,8
2019-04-02 00:00:00,22.99,21.0,21.0,3
2019-04-03 00:00:00,22.9,22.9,22.9,1
2019-04-11 00:00:00,22.0,22.0,22.0,3
2019-04-12 00:00:00,21.05,21.02,21.05,113
2019-04-15 00:00:00,21.06,21.06,21.06,1000
2019-04-16 00:00:00,22.0,21.0,21.0,66
